fecha_captura,fuente,titulo_o_referencia,zona,precio_publicado_eur_mes,habitaciones,superficie_m2,planta,banos,tipo_alquiler,descripcion_resumida,ascensor,grupo_comparacion,precio_m2_eur
2026-08-24,Fotocasa,190466156,Centro,250,4,90.0,1.0,2.0,Larga duración,Habitaciones solo estudiantes,No,estudiantes,2.7777777777777777
2026-08-24,Fotocasa,190505448,Centro,990,3,90.0,2.0,1.0,Larga duración,Solo estudiantes; septiembre 2026-julio 2027,No,estudiantes,11.0
2026-08-24,Fotocasa,190009165,Centro,900,3,900.0,,2.0,Larga duración,Solo estudiantes; junto Universidad,No,estudiantes,1.0
2026-08-24,Fotocasa,190321959,Centro,1200,4,127.0,,2.0,Temporada,Solo estudiantes UA; 10 min UA,Sí,estudiantes,9.448818897637794
2026-08-24,Fotocasa,190481876,Centro,1050,3,92.0,,1.0,Temporada,Solo estudiantes; reformado,Sí,estudiantes,11.41304347826087
2026-08-24,Fotocasa,190505611,Norte,1000,4,90.0,2.0,2.0,Larga duración,Exclusivo estudiantes; balcón; A/A,No,estudiantes,11.11111111111111
2026-08-24,Fotocasa,190442423,Norte,800,4,109.0,3.0,2.0,Temporada,Solo estudiantes; reformado,No,estudiantes,7.339449541284404
2026-08-24,Fotocasa,190135008,Norte,900,2,80.0,,1.0,Temporada,Reformado y amueblado,No,no_estudiantes,11.25
2026-08-24,Fotocasa,190359871,Centro,950,2,56.0,,1.0,Larga duración,Amueblado; terraza,No,no_estudiantes,16.964285714285715
2026-08-24,Fotocasa,190501040,Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes; 15 min UA,No,estudiantes,9.473684210526315
2026-08-24,Fotocasa,190131831,Centro,340,4,110.0,5.0,2.0,Larga duración,Solo estudiantes; 20 min UA; internet,Sí,estudiantes,3.090909090909091
2026-08-24,Fotocasa,190482569,Centro,1200,4,115.0,,2.0,Temporada,Dúplex junto UA; chicas estudiantes,Sí,estudiantes,10.434782608695652
2026-08-24,Fotocasa,190426057,Centro,810,3,120.0,1.0,2.0,Larga duración,Se alquilan habitaciones a 270 €/mes,No,no_estudiantes,6.75
2026-08-24,Fotocasa,190501594,Centro,1200,3,220.0,,2.0,Larga duración,Ático; 220 m²; piscina; garaje,Sí,no_estudiantes,5.454545454545454
2026-08-24,Fotocasa,190160237,Centro,900,3,85.0,,1.0,Temporada,Solo estudiantes,No,estudiantes,10.588235294117647
2026-08-24,Fotocasa,190?TIBI,Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes; 15 min UA,No,estudiantes,9.473684210526315
2026-08-24,Fotocasa,190?CURAFRANCISCO,Centro,1150,3,100.0,2.0,2.0,Larga duración,Amueblado; ascensor; balcón; A/A; calefacción,Sí,no_estudiantes,11.5
2026-08-24,Fotocasa,190?GENERALIBANEZ,Centro,1050,3,92.0,,1.0,Temporada,Solo estudiantes; reformado,No,estudiantes,11.41304347826087
2026-08-24,Fotocasa,190?HUERTA,Centro,825,3,110.0,0.0,1.0,Temporada,Solo estudiantes 2026/27,No,estudiantes,7.5
2026-08-24,Fotocasa,190?CARRERALCORAYA,Norte,1000,4,90.0,2.0,2.0,Temporada,Exclusivo estudiantes; balcón; A/A,No,estudiantes,11.11111111111111
2026-08-24,Fotocasa,190?MANUELDOMINGUEZ,Norte,900,2,80.0,1.0,1.0,Temporada,Reformado; amueblado; sin ascensor,No,no_estudiantes,11.25
2026-08-24,Fotocasa,190?RIUALGAR,Parque Lo Torrent,1150,2,75.0,,2.0,Larga duración,Piscina; garaje; terraza; amueblado,Sí,no_estudiantes,15.333333333333334
2026-08-24,Fotocasa,190?PINTORSOROLLA,Norte,900,3,75.0,0.0,1.0,Temporada,Exclusivamente estudiantes 2026/27; WiFi incluido,No,estudiantes,12.0
2026-08-24,Fotocasa,190?ESTUDIO1,Centro,1275,1,,,1.0,Temporada,Estudios para estudiantes/personal UA,Sí,estudiantes,
2026-08-24,Fotocasa,190?GENERALIBANEZ2,Centro,1050,3,,,,Temporada,Solo estudiantes; reformado,No,estudiantes,
2026-08-24,Fotocasa,190?TIBI2,Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes,No,estudiantes,9.473684210526315
2026-08-24,Fotocasa,190?ALCORAYA2,Norte,1000,4,90.0,2.0,2.0,Temporada,Exclusivo estudiantes,No,estudiantes,11.11111111111111
2026-08-24,Fotocasa,190?PARTICULARES,Centro,1050,3,,,,Temporada,Solo estudiantes; recién reformado,No,estudiantes,
2026-08-24,Fotocasa,190?ESTUDIO2,Centro,1275,1,,,,Temporada,Estudio completo; equipamiento premium,Sí,no_estudiantes,
2026-08-24,Fotocasa,"Calle Tibi, 3",Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes,No,estudiantes,9.473684210526315
2026-08-24,Fotocasa,Centro,Centro,950,2,56.0,,1.0,Larga duración,Amueblado; terraza,No,no_estudiantes,16.964285714285715
2026-08-24,Fotocasa,Parque Lo Torrent,Parque Lo Torrent,1150,2,75.0,,2.0,Larga duración,Piscina; garaje; terraza; amueblado,Sí,no_estudiantes,15.333333333333334
2026-08-24,Fotocasa,"Calle General Ibáñez, 31",Centro,1050,3,92.0,,1.0,Temporada,Solo estudiantes; reformado,No,estudiantes,11.41304347826087
2026-08-24,Fotocasa,"Calle Tibi, 3",Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes; 15 min UA,No,estudiantes,9.473684210526315
2026-08-24,Fotocasa,Piso con terraza en Centro,Centro,900,3,100.0,1.0,1.0,Temporada,Reformado; próximo bus/TRAM; biblioteca,No,no_estudiantes,9.0
2026-08-24,Fotocasa,"Calle Tibi, 3",Centro,900,4,95.0,1.0,2.0,Temporada,3 habitaciones disponibles; estudiante,No,estudiantes,9.473684210526315
2026-08-24,Fotocasa,"Calle General Ibáñez, 31",Centro,1050,3,92.0,,1.0,Temporada,Estudiantes; reformado,No,estudiantes,11.41304347826087
2026-08-24,Fotocasa,Piso en Norte,Norte,1000,4,90.0,2.0,2.0,Temporada,Exclusivamente estudiantes; balcón; A/A,No,estudiantes,11.11111111111111
2026-08-24,Fotocasa,"Calle Tibi, 3",Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes,No,estudiantes,9.473684210526315
2026-08-24,Fotocasa,Centro,Centro,1200,4,127.0,,2.0,Temporada,Solo estudiantes UA; 10 min UA,Sí,estudiantes,9.448818897637794
2026-08-24,Fotocasa,Centro,Centro,1050,3,92.0,,1.0,Temporada,Solo estudiantes; reformado,Sí,estudiantes,11.41304347826087
2026-08-24,Fotocasa,Norte,Norte,800,4,109.0,3.0,2.0,Temporada,Solo estudiantes; reformado,No,estudiantes,7.339449541284404
2026-08-24,Fotocasa,Centro,Centro,900,3,100.0,1.0,1.0,Temporada,Alquiler temporal; transporte UA,No,no_estudiantes,9.0
2026-08-24,Fotocasa,Centro,Centro,1000,4,95.0,1.0,2.0,Larga duración,Vivienda completa; sin indicación de estudiantes,No,estudiantes,10.526315789473685
2026-08-24,Fotocasa,Centro,Centro,1100,3,90.0,1.0,2.0,Larga duración,Vivienda completa; sin indicación de estudiantes,Sí,estudiantes,12.222222222222221
2026-08-24,Fotocasa,Norte,Norte,950,3,100.0,2.0,1.0,Larga duración,Vivienda completa; sin indicación de estudiantes,No,estudiantes,9.5
2026-08-24,Fotocasa,Parque Lo Torrent,Parque Lo Torrent,1100,3,100.0,3.0,2.0,Larga duración,Vivienda completa; sin indicación de estudiantes,Sí,estudiantes,11.0
