fecha_captura,fuente,zona,precio_mes_eur,habitaciones,superficie_m2,tipo_demanda,ubicacion_referencia,observaciones,precio_por_habitacion_si_piso_compartido
2026-08-24,Idealista,Centro,800,3,115,estudiantes UA,5-10 min andando UA,,266.6666666666667
2026-08-24,Idealista,Alcalde Felipe Mallol,900,3,90,estudiantes,25 min andando UA,gastos luz/agua incluidos,300.0
2026-08-24,Idealista,Alcalde Felipe Mallol,850,3,89,estudiantes,Canastell,,283.3333333333333
2026-08-24,Idealista,Haygon - Universidad,950,3,115,estudiantes,5 min andando UA,,316.6666666666667
2026-08-24,Idealista,Centro,1300,4,134,estudiantes UA,Centro,,325.0
2026-08-24,Idealista,Centro,630,0,42,estudiantes,200 m UA,estudio,
2026-08-24,Idealista,Centro,630,0,42,estudiantes,200 m UA,estudio,
2026-08-24,Idealista,Centro,800,2,75,estudiantes,200 m UA,,400.0
2026-08-24,Idealista,Centro,1050,3,100,estudiantes,cerca UA,,350.0
2026-08-24,Idealista,Centro,1050,3,95,larga/temporada,,,350.0
