fecha_captura,fuente,municipio,direccion,habitaciones_vivienda,plazas,tipo_vivienda,regimen,precio_publicado_eur_mes,periodo_minimo_meses,fecha_oferta,observaciones
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Calderón de la Barca, 32 1º",4,2,P,CO,235,,8/24/2026,Habitaciones amplias y luminosas
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Elche, 13 3",4,1,P,A,270,9.0,8/23/2026,Se alquila habitación en piso compartido a chica; Internet
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Ciprés, 9",5,1,T,CO,459,6.0,8/21/2026,"Comunidad, agua, luz, gas e internet incluidos"
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/Hernán Cortes, 2 3 C",4,1,P,A,209,11.0,8/21/2026,"Piso 4 habitaciones, 2 baños, terraza; 1 habitación libre"
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Portugal, 1 1 22",4,1,P,CO,300,10.0,8/20/2026,Habitación para chico estudiante; 3 chicos estudiantes en el piso
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Madrid, 16 1º D",3,1,P,A,250,10.0,8/19/2026,Internet; ascensor
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Madrid, 16 1 D",3,1,P,CO,750,9.0,8/19/2026,Piso todo exterior; esquina; enfrente parque y apeadero tren
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Alicante, 76 3",6,2,E,CO,550,10.0,8/17/2026,"Habitaciones con nevera, TV y microondas; suministros detallados en observaciones"
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Blasco Ibánez, 31 3",3,3,A,A,1050,10.0,8/17/2026,Internet y teléfono incluidos; enlace externo a Idealista
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Sevilla, 1",4,1,P,A,250,12.0,8/17/2026,Muy cerca de la universidad; 2 baños
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"Avd. Libertad, 41",3,1,P,CO,320,8.0,8/15/2026,Internet; ascensor
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Benlliure, 32 3º",3,1,A,CO,270,12.0,8/15/2026,"3 habitaciones, 1 baño; cocina amplia; A/A; TV; sin ascensor"
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Francia, 1 38",4,1,A,A,250,12.0,8/15/2026,Internet; ascensor; comunidad
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C. Cervantes, 24 2 Izq",4,4,P,A,1000,10.0,8/14/2026,Certificado energético; ascensor; comunidad
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Goya, 40",2,1,P,CO,350,10.0,8/14/2026,Una habitación libre; 2 habitaciones y 2 baños; ideal profesor/a
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Portugal, 2 3 26",4,4,P,A,1200 / 300 hab.,,8/13/2026,Dúplex junto a la universidad; curso 2026/27; 1200€ completo o 399€/habitación en observación
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Cura Fco.Maestre, 12 2° B",4,4,P,A,1200,11.0,8/13/2026,120 m²; 4 dormitorios; 2 baños; muy cerca de la universidad
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Juan Ramón Jiménez, 19",3,1,C,A,275,11.0,8/13/2026,Planta baja independiente; última habitación; solo chicas; 15 min UA; internet
