fecha_captura;fuente;nombre;tipo;municipio;en_san_vicente;dormitorios;camas;banos;precio_mensual_sin_descuento_eur;precio_mensual_final_eur;tipo_descuento;valoracion;num_valoraciones;periodo
2026-09-10;Airbnb;Ginger - Loft Urbano Exclusivo;Loft;San Vicente del Raspeig;si;1;1;1;2740;2113;mensual;4.64;59;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;15 minutos de la playa 10 centro Alicante benidorm;Apartamento;San Vicente del Raspeig;si;1;6;1;1817;1521;mensual;4.75;24;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;El Jazmin;Vivienda;San Vicente del Raspeig;si;3;3;2.5;4800;4652;mensual;;;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;Villa Lago;Villa;San Vicente del Raspeig;si;5;7;4;16316;16316;;;;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;Casa lulu enorme piscina jardin suite;Villa;San Vicente del Raspeig;si;6;7;4;12826;8337;mensual;4.83;12;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;Villa con piscina de diseno y gran estanque;Chalet;San Vicente del Raspeig;si;4;5;2;7734;7734;;;;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;Casa abedul;Chalet;San Vicente del Raspeig;si;6;6;3;15474;13381;semanal;4.33;3;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;Casa Latina;Vivienda;Alicante;no;1;4;1;4902;3928;mensual;;;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;Apartamentos Navarro;Casa particular;Muchamiel;no;4;5;2;4943;4943;;;;2026-10-01 a 2026-11-01
2026-09-10;Airbnb;La Campaneta a 15 min del centro y playa;Vivienda;Alicante;no;3;;1;5008;5008;;;;2026-10-01 a 2026-11-01
