fecha_captura,fuente,pagina,titulo,precio_mes_eur,habitaciones,superficie_m2,zona,planta,ascensor,descripcion_resumida,url_fuente
2026-08-24,Idealista,p1,Piso en Centro,1200,3,90,Centro,1ª,no,Estudiantes; suministros incluidos; cerca de Lo Torrent,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Centro,1230,3,120,Centro,1ª,sí,Junto a Universidad; zona verde/peatonal; alquiler de temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Calle Pedro Maltés,900,3,100,Centro,1ª,sí,Estudiantes; 15 min andando UA; alquiler de temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Calle Alicante,1260,4,125,Centro,4ª,sí,200 m de la UA; equipado para estudiantes,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle Jorge Juan, 26",1050,3,95,Centro,4ª,sí,Reformado; 2 baños; exterior,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Dr Trueta,1300,4,134,Centro,4ª,sí,Exclusivo estudiantes UA; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Dúplex en Portugal,1100,4,152,Centro,1ª,sí,Garaje incluido; estudiantes UA; 5 min UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle Bailén, 35",1000,4,95,Centro,4ª,no,Estudiantes; 3 o 4 inquilinos; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Centro,950,2,80,Centro,3ª,no,Lo Torrent; suministros no incluidos,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Calle San Juan,1200,4,85,Centro,1ª,no,Alquiler temporal; disponible octubre,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle Las Navas, 12",960,3,117,Alcalde Felipe Mallol,3ª,no,Reformado; 90 m² útiles; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Colonia Santa Isabel,795,2,68,Haygon - Universidad,1ª,no,Temporada 11 meses; reformado,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle San Pablo, 11",1100,4,110,Centro,3ª,no,Grupo de 4 estudiantes; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle Alicante, 56",1100,4,120,Centro,2ª,sí,Estudiantes; 5 min andando UA; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle Villafranqueza, 43",1100,3,90,Centro,1ª,sí,Solo estudiantes; 7 min UA; garaje opcional,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Sevilla,1500,4,135,Centro,4ª,sí,Temporada; piscina en azotea,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Casa independiente Calle Major,2100,6,200,Centro,,no,Septiembre-junio; solo estudiantes; garaje,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Bailen,930,4,382,Centro,1ª,no,Temporada estudiantes; 5 min UA; 250 €/habitación,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Centro,1475,5,132,Centro,1ª,no,Estudiantes; cinco habitaciones,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Alcalde Felipe Mallol,850,3,89,Alcalde Felipe Mallol,3ª,sí,Estudiantes; zona Canastell,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Colonia Santa Isabel, 52",950,3,115,Haygon - Universidad,4ª,sí,Solo estudiantes; 5 min UA; sep-jun,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Partida Raspeig Polig D,1300,4,124,Los Girasoles,1ª,sí,Garaje; máximo 4 personas; suministros incluidos,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Calle Benlliure,900,3,130,Centro,1ª,no,Solo estudiantes; temporada; 85 m² útiles,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Avenida de la Llibertat, 27",1100,4,110,Centro,6ª,sí,Estudiantes UA; 15 min andando; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle Cura Francisco Maestre, 4",950,3,90,Centro,2ª,no,Estudiantes; 9 min UA; gastos no incluidos,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle Blasco Ibanez, 7",1050,3,92,Centro,3ª,no,Reformado; estudiantes; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
