fuente;fecha_captura;id_anuncio;precio_mes;habitaciones;m2;zona;planta;ascensor;banos;garaje;tipo_alquiler;texto_original;es_duplicado_cruzado
idealista;2026-08-24;;1200.0;4.0;110.0;Centro;2ª;False;;False;anual/no_especificado;"Piso Calle Pintor Picasso | 1200 | Solo estudiantes; terraza";True
idealista;2026-08-24;;1350.0;3.0;160.0;Centro;;False;;True;anual/no_especificado;"Chalet Calle Doctor Marañón, 13 | 1350 | Garaje; piscina; 300 m TRAM; junto Villa Universitaria";True
idealista;2026-08-24;;1050.0;3.0;112.0;Alcalde Felipe Mallol;;False;;True;temporada;"Casa pueblo Alcalde Felipe Mallol | 1050 | Larga temporada; garaje";True
idealista;2026-08-24;;1200.0;4.0;115.0;Centro;2ª;True;;False;anual/no_especificado;"Dúplex Calle Portugal, 2 | 1200 | 2 habitaciones disponibles; chicas estudiantes";True
idealista;2026-08-24;;990.0;3.0;110.0;Alcalde Felipe Mallol;5ª;True;;False;anual/no_especificado;"Piso Calle Alicante s/n | 990 | Solo estudiantes; TRAM; 2 baños";True
idealista;2026-08-24;;1200.0;3.0;90.0;Centro;5ª;True;;False;anual/no_especificado;"Piso Centro | 1200 | Ático estudiantes; frente universidad; suministros incluidos";False
idealista;2026-08-24;;1200.0;4.0;121.0;Centro;2ª;True;;False;temporada;"Piso Bautista Aznar | 1200 | Exclusivo estudiantes UA; temporada";True
idealista;2026-08-24;;850.0;3.0;95.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Gral Ibáñez | 850 | Curso estudiantes; amueblado";True
idealista;2026-08-24;;1300.0;4.0;90.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Centro | 1300 | Estudiantes; 4 habitaciones; 2 baños";False
idealista;2026-08-24;;1300.0;3.0;100.0;Los Girasoles;;False;;False;anual/no_especificado;"Casa Los Girasoles | 1300 | Adosado; suministros incluidos";True
idealista;2026-08-24;;900.0;3.0;83.0;Alcalde Felipe Mallol;3ª;False;;False;anual/no_especificado;"Piso Alcalde Felipe Mallol | 900 | Estudiantes; gastos incluidos";True
idealista;2026-08-24;;900.0;3.0;95.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Centro | 900 | Estudiantes; muy cerca UA";False
idealista;2026-08-24;;1250.0;3.0;120.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Ciudad Jardín | 1250 | Estudiantes UA; moderno; 98 m² útiles";False
idealista;2026-08-24;;930.0;3.0;100.0;Centro;6ª;True;;False;anual/no_especificado;"Piso Calle Alicante, 66 | 930 | Escasos metros campus; preferiblemente estudiantes";False
idealista;2026-08-24;;1400.0;3.0;100.0;Centro;2ª;True;;False;anual/no_especificado;"Piso Calle Portugal | 1400 | Exclusivo estudiantes; <5 min UA";False
idealista;2026-08-24;;1000.0;3.0;90.0;Centro;;False;;False;anual/no_especificado;"Piso Centro | 1000 | Estudiantes; Lo Torrent; suministros";True
idealista;2026-08-24;;770.0;1.0;80.0;Alcalde Felipe Mallol;Bajo;True;;True;anual/no_especificado;"Piso Alcalde Felipe Mallol | 770 | Garaje incluido; disponible septiembre 2026";False
idealista;2026-08-24;;1100.0;3.0;90.0;Sol y Luz;3ª;True;;True;anual/no_especificado;"Piso Avenida l'Almàssera, 23 | 1100 | Piscina; juegos; garaje; amueblado";True
idealista;2026-08-24;;960.0;3.0;77.0;Centro;1ª;True;;False;anual/no_especificado;"Piso Centro | 960 | Estudiantes; amueblado; cerca UA";False
idealista;2026-08-24;;1050.0;3.0;100.0;Centro;3ª;False;;False;anual/no_especificado;"Piso Centro | 1050 | Estudiantes; avenida principal; suministros no incluidos";False
idealista;2026-08-24;;1250.0;5.0;200.0;Alcalde Felipe Mallol;;False;;False;anual/no_especificado;"Piso Alcalde Felipe Mallol | 1250 | Estudiantes; 18 min andando UA";True
idealista;2026-08-24;;750.0;1.0;30.0;Villamontes-Boqueres;;False;;False;temporada;"Casa Partida Boqueres | 750 | Temporada; jardín 90 m²";True
idealista;2026-08-24;;1250.0;2.0;75.0;Los Girasoles;;False;;False;anual/no_especificado;"Casa Camino de la Providencia | 1250 | Chalet independiente; sin amueblar";False
idealista;2026-08-24;;1300.0;4.0;100.0;Centro;;False;;False;anual/no_especificado;"Piso Centro | 1300 | Estudiantes; alquiler 11 meses";True
idealista;2026-08-24;;1100.0;3.0;164.0;Centro;;False;;False;temporada;"Casa Calle Capitán Torregrosa, 8 | 1100 | Vivienda entera para 3 estudiantes; temporada/larga";False
idealista;2026-08-24;;900.0;3.0;106.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Castellet, 6 | 900 | Solo estudiantes UA; 10 meses";False
idealista;2026-08-24;;1500.0;4.0;110.0;Centro;Entreplanta;True;;False;temporada;"Dúplex Calle Aeroplano, 2 | 1500 | Reformado; 4 dormitorios; temporada";True
idealista;2026-08-24;;800.0;2.0;75.0;Centro;1ª;True;;False;temporada;"Piso Calle Bautista Aznar | 800 | 200 m UA; estudiantes; temporada";True
idealista;2026-08-24;;630.0;0.0;42.0;Centro;1ª;True;;False;temporada;"Estudio Calle Pizarro | 630 | 200 m UA; estudiantes; temporada";False
idealista;2026-08-24;;1200.0;4.0;110.0;Centro;2ª;True;;False;temporada;"Piso Calle San Isidro, 30 | 1200 | Estudiantes; 10 min UA; temporada";True
idealista;2026-08-24;;980.0;4.0;90.0;Centro;1ª;True;;False;temporada;"Piso en Calle Torres Quevedo, 29 | 980 | Temporada lectiva estudiantes; terraza";False
idealista;2026-08-24;;800.0;2.0;65.0;Los Girasoles;;False;;True;anual/no_especificado;"Casa independiente Ronda del Mahones, 14 | 800 | Curso 26/27; estudiantes; suministros incluidos; garaje";False
idealista;2026-08-24;;900.0;3.0;102.0;Centro;2ª;False;;False;anual/no_especificado;"Piso Calle Pintor Murillo, 9 | 900 | Curso escolar; preferentemente estudiantes";False
idealista;2026-08-24;;1300.0;3.0;100.0;Villamontes-Boqueres;;False;;False;anual/no_especificado;"Casa adosada Villamontes-Boqueres | 1300 | Adosado; zona Girasoles";True
idealista;2026-08-24;;1000.0;3.0;95.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Calle Bailén, 65 | 1000 | Larga estancia; no estudiantes";True
idealista;2026-08-24;;850.0;1.0;50.0;Sol y Luz;;False;;False;anual/no_especificado;"Casa de campo Camino de la Sendera | 850 | Finca rústica; larga descripción rural";False
idealista;2026-08-24;;750.0;1.0;30.0;Villamontes-Boqueres;;False;;False;temporada;"Casa independiente Partida Boqueres | 750 | Temporada; jardín 90 m²";True
idealista;2026-08-24;;1300.0;4.0;110.0;Centro;3ª;True;;False;temporada;"Dúplex Calle Aeroplano, 2 | 1300 | A pie de campus; 4 chicas universitarias; temporada";False
idealista;2026-08-24;;1200.0;3.0;90.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Centro | 1200 | Estudiantes; cerca Centro de Salud 2 y TRAM";True
idealista;2026-08-24;;900.0;0.0;45.0;Centro;1ª;True;;False;anual/no_especificado;"Estudio Centro | 900 | Estudio 40-45 m²; céntrico";False
idealista;2026-08-24;;1000.0;3.0;80.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Calle Salamanca, 10 | 1000 | Larga estancia; solvencia requerida";True
idealista;2026-08-24;;850.0;3.0;100.0;Haygon - Universidad;Bajo;False;;False;anual/no_especificado;Piso Calle Colonia Santa Isabel, 2 | 850 | Características no detalladas en resultado;False
idealista;2026-08-24;;1600.0;3.0;100.0;Villamontes-Boqueres;;False;;False;temporada;"Casa Calle del Gantxo, 3 | 1600 | Piscina privada; 2 baños + aseo; temporada";False
idealista;2026-08-24;;825.0;2.0;80.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Pi y Margall, 71 | 825 | Amueblado; 10 min UA; TRAM/Cercanías";False
idealista;2026-08-24;;899.0;3.0;100.0;Centro;3ª;True;;False;temporada;"Piso Calle Castellet, 6 | 899 | Estudiantes; a pasos de UA; temporada";False
idealista;2026-08-24;;840.0;3.0;90.0;Centro;1ª;False;;False;temporada;"Piso Núñez de Balboa, 2 | 840 | Solo estudiantes; temporada";True
idealista;2026-08-24;;750.0;1.0;40.0;Alcalde Felipe Mallol;2ª;True;;False;anual/no_especificado;"Piso Alcalde Felipe Mallol | 750 | Larga estancia; estudio; 2 balcones";False
idealista;2026-08-24;;850.0;3.0;105.0;Centro;2ª;False;;False;anual/no_especificado;"Piso Calle Velázquez, 32 | 850 | Larga estancia; amueblado; cerca TRAM y universidad";False
idealista;2026-08-24;;1520.0;1.0;98.0;Centro;Bajo;False;;False;anual/no_especificado;"Piso Manuel Domínguez Margarit, 14-16 | 1520 | Solo estudiantes; 4 habitaciones a 395 € cada una";True
idealista;2026-08-24;;2400.0;4.0;500.0;Villamontes-Boqueres;;False;;True;anual/no_especificado;"Chalet Calle Gorrión, 9 | 2400 | Garaje; vivienda grande; afueras";True
idealista;2026-08-24;;1080.0;3.0;95.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Calle Bailén, 65 | 1080 | Preferiblemente estudiantes; 5 min UA";False
idealista;2026-08-24;;1200.0;4.0;100.0;Centro;3ª;True;;False;temporada;"Piso Avenida de Sevilla | 1200 | Solo estudiantes; temporada";True
idealista;2026-08-24;;1450.0;5.0;120.0;Centro;2ª;False;;False;temporada;"Piso Calle Montoyos | 1450 | 5 dormitorios; 15 min UA; temporada";False
idealista;2026-08-24;;900.0;3.0;90.0;Alcalde Felipe Mallol;Bajo;False;;False;temporada;"Piso Centro, Alcalde Felipe Mallol | 900 | Solo estudiantes; patio grande; temporada";True
idealista;2026-08-24;;1900.0;5.0;100.0;Centro;2ª;True;;False;anual/no_especificado;"Piso Avenida de la Llibertat, 13 | 1900 | Reformado; estudiantes; junto UA";False
idealista;2026-08-24;;1200.0;4.0;130.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Calle Gabriel Miró, 34 | 1200 | Por habitaciones; estudiantes; 5 min UA";False
idealista;2026-08-24;;1050.0;3.0;100.0;Centro;1ª;True;;True;anual/no_especificado;"Piso Calle Ciudad Jardín, 4 | 1050 | Estudiantes; 5 min UA; garaje opcional";True
idealista;2026-08-24;;990.0;3.0;90.0;Centro;2ª;False;;False;anual/no_especificado;"Piso en Calle San Juan, 27 | 990 | Solo estudiantes; sep-2026 a jul-2027";False
fotocasa;2026-08-24;;950.0;3.0;100.0;Norte;2.0;False;1.0;False;anual/no_especificado;"Norte | 950 | Vivienda completa; sin indicación de estudiantes";False
idealista;2026-08-24;;840.0;3.0;90.0;Centro;1ª;False;;False;temporada;"Piso Calle Jorge Juan | 840 | Estudiantes; temporada";True
fotocasa;2026-08-24;;900.0;2.0;80.0;Norte;1.0;False;1.0;False;temporada;"190?MANUELDOMINGUEZ | 900 | Reformado; amueblado; sin ascensor";False
fotocasa;2026-08-24;;1150.0;2.0;75.0;Parque Lo Torrent;;True;2.0;True;anual/no_especificado;"190?RIUALGAR | 1150 | Piscina; garaje; terraza; amueblado";False
fotocasa;2026-08-24;;900.0;3.0;75.0;Norte;0.0;False;1.0;False;temporada;"190?PINTORSOROLLA | 900 | Exclusivamente estudiantes 2026/27; WiFi incluido";False
fotocasa;2026-08-24;;1275.0;1.0;;Centro;;True;1.0;False;temporada;190?ESTUDIO1 | 1275 | Estudios para estudiantes/personal UA;False
fotocasa;2026-08-24;;1050.0;3.0;;Centro;;False;;False;temporada;"190?GENERALIBANEZ2 | 1050 | Solo estudiantes; reformado";False
fotocasa;2026-08-24;;900.0;4.0;95.0;Centro;1.0;False;2.0;False;temporada;190?TIBI2 | 900 | Solo chicas estudiantes;False
fotocasa;2026-08-24;;1000.0;4.0;90.0;Norte;2.0;False;2.0;False;temporada;190?ALCORAYA2 | 1000 | Exclusivo estudiantes;False
fotocasa;2026-08-24;;1050.0;3.0;;Centro;;False;;False;temporada;"190?PARTICULARES | 1050 | Solo estudiantes; recién reformado";False
fotocasa;2026-08-24;;1275.0;1.0;;Centro;;True;;False;temporada;"190?ESTUDIO2 | 1275 | Estudio completo; equipamiento premium";False
fotocasa;2026-08-24;;900.0;4.0;95.0;Centro;1.0;False;2.0;False;temporada;Calle Tibi, 3 | 900 | Solo chicas estudiantes;True
fotocasa;2026-08-24;;950.0;2.0;56.0;Centro;;False;1.0;False;anual/no_especificado;"Centro | 950 | Amueblado; terraza";False
fotocasa;2026-08-24;;1150.0;2.0;75.0;Parque Lo Torrent;;True;2.0;True;anual/no_especificado;"Parque Lo Torrent | 1150 | Piscina; garaje; terraza; amueblado";True
fotocasa;2026-08-24;;1050.0;3.0;92.0;Centro;;False;1.0;False;temporada;"Calle General Ibáñez, 31 | 1050 | Solo estudiantes; reformado";False
fotocasa;2026-08-24;;900.0;4.0;95.0;Centro;1.0;False;2.0;False;temporada;"Calle Tibi, 3 | 900 | Solo chicas estudiantes; 15 min UA";True
fotocasa;2026-08-24;;900.0;3.0;100.0;Centro;1.0;False;1.0;False;temporada;"Piso con terraza en Centro | 900 | Reformado; próximo bus/TRAM; biblioteca";True
fotocasa;2026-08-24;;900.0;4.0;95.0;Centro;1.0;False;2.0;False;temporada;"Calle Tibi, 3 | 900 | 3 habitaciones disponibles; estudiante";True
fotocasa;2026-08-24;;1050.0;3.0;92.0;Centro;;False;1.0;False;temporada;"Calle General Ibáñez, 31 | 1050 | Estudiantes; reformado";True
fotocasa;2026-08-24;;1000.0;4.0;90.0;Norte;2.0;False;2.0;False;temporada;"Piso en Norte | 1000 | Exclusivamente estudiantes; balcón; A/A";True
fotocasa;2026-08-24;;900.0;4.0;95.0;Centro;1.0;False;2.0;False;temporada;Calle Tibi, 3 | 900 | Solo chicas estudiantes;True
fotocasa;2026-08-24;;1200.0;4.0;127.0;Centro;;True;2.0;False;temporada;"Centro | 1200 | Solo estudiantes UA; 10 min UA";False
fotocasa;2026-08-24;;1050.0;3.0;92.0;Centro;;True;1.0;False;temporada;"Centro | 1050 | Solo estudiantes; reformado";True
fotocasa;2026-08-24;;800.0;4.0;109.0;Norte;3.0;False;2.0;False;temporada;"Norte | 800 | Solo estudiantes; reformado";False
fotocasa;2026-08-24;;900.0;3.0;100.0;Centro;1.0;False;1.0;False;temporada;"Centro | 900 | Alquiler temporal; transporte UA";True
fotocasa;2026-08-24;;1000.0;4.0;95.0;Centro;1.0;False;2.0;False;anual/no_especificado;"Centro | 1000 | Vivienda completa; sin indicación de estudiantes";True
fotocasa;2026-08-24;;1100.0;3.0;90.0;Centro;1.0;True;2.0;False;anual/no_especificado;"Centro | 1100 | Vivienda completa; sin indicación de estudiantes";True
fotocasa;2026-08-24;;1000.0;4.0;90.0;Norte;2.0;False;2.0;False;temporada;"190?CARRERALCORAYA | 1000 | Exclusivo estudiantes; balcón; A/A";True
fotocasa;2026-08-24;;825.0;3.0;110.0;Centro;0.0;False;1.0;False;temporada;190?HUERTA | 825 | Solo estudiantes 2026/27;False
fotocasa;2026-08-24;;1050.0;3.0;92.0;Centro;;False;1.0;False;temporada;"190?GENERALIBANEZ | 1050 | Solo estudiantes; reformado";True
fotocasa;2026-08-24;;1150.0;3.0;100.0;Centro;2.0;True;2.0;False;anual/no_especificado;"190?CURAFRANCISCO | 1150 | Amueblado; ascensor; balcón; A/A; calefacción";False
idealista;2026-08-24;;900.0;3.0;90.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Castellet | 900 | Solo estudiantes; cerca Facultad Educación";True
idealista;2026-08-24;;880.0;4.0;90.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Calle Elche | 880 | Estudiantes; baño y aseo";True
idealista;2026-08-24;;900.0;3.0;85.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Centro | 900 | Estudiantes; cerca universidad; suministros no incluidos";True
idealista;2026-08-24;;1350.0;3.0;170.0;Centro;Bajo;True;;False;anual/no_especificado;"Dúplex Calle Aeroplano, 5 | 1350 | Estudiantes; Villa Universitaria; piscina";True
