fuente;fecha_captura;id_anuncio;precio_mes;habitaciones;m2;zona;planta;ascensor;banos;garaje;tipo_alquiler;texto_original
idealista;2026-08-24;;1200.0;3.0;90.0;Centro;5ª;True;;False;anual/no_especificado;"Piso Centro | 1200 | Ático estudiantes; frente universidad; suministros incluidos"
idealista;2026-08-24;;1300.0;4.0;90.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Centro | 1300 | Estudiantes; 4 habitaciones; 2 baños"
idealista;2026-08-24;;900.0;3.0;95.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Centro | 900 | Estudiantes; muy cerca UA"
idealista;2026-08-24;;1250.0;3.0;120.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Ciudad Jardín | 1250 | Estudiantes UA; moderno; 98 m² útiles"
idealista;2026-08-24;;930.0;3.0;100.0;Centro;6ª;True;;False;anual/no_especificado;"Piso Calle Alicante, 66 | 930 | Escasos metros campus; preferiblemente estudiantes"
idealista;2026-08-24;;1400.0;3.0;100.0;Centro;2ª;True;;False;anual/no_especificado;"Piso Calle Portugal | 1400 | Exclusivo estudiantes; <5 min UA"
idealista;2026-08-24;;770.0;1.0;80.0;Alcalde Felipe Mallol;Bajo;True;;True;anual/no_especificado;"Piso Alcalde Felipe Mallol | 770 | Garaje incluido; disponible septiembre 2026"
idealista;2026-08-24;;960.0;3.0;77.0;Centro;1ª;True;;False;anual/no_especificado;"Piso Centro | 960 | Estudiantes; amueblado; cerca UA"
idealista;2026-08-24;;1050.0;3.0;100.0;Centro;3ª;False;;False;anual/no_especificado;"Piso Centro | 1050 | Estudiantes; avenida principal; suministros no incluidos"
idealista;2026-08-24;;1250.0;2.0;75.0;Los Girasoles;;False;;False;anual/no_especificado;"Casa Camino de la Providencia | 1250 | Chalet independiente; sin amueblar"
idealista;2026-08-24;;1100.0;3.0;164.0;Centro;;False;;False;temporada;"Casa Calle Capitán Torregrosa, 8 | 1100 | Vivienda entera para 3 estudiantes; temporada/larga"
idealista;2026-08-24;;900.0;3.0;106.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Castellet, 6 | 900 | Solo estudiantes UA; 10 meses"
idealista;2026-08-24;;630.0;0.0;42.0;Centro;1ª;True;;False;temporada;"Estudio Calle Pizarro | 630 | 200 m UA; estudiantes; temporada"
idealista;2026-08-24;;980.0;4.0;90.0;Centro;1ª;True;;False;temporada;"Piso en Calle Torres Quevedo, 29 | 980 | Temporada lectiva estudiantes; terraza"
idealista;2026-08-24;;800.0;2.0;65.0;Los Girasoles;;False;;True;anual/no_especificado;"Casa independiente Ronda del Mahones, 14 | 800 | Curso 26/27; estudiantes; suministros incluidos; garaje"
idealista;2026-08-24;;900.0;3.0;102.0;Centro;2ª;False;;False;anual/no_especificado;"Piso Calle Pintor Murillo, 9 | 900 | Curso escolar; preferentemente estudiantes"
idealista;2026-08-24;;850.0;1.0;50.0;Sol y Luz;;False;;False;anual/no_especificado;"Casa de campo Camino de la Sendera | 850 | Finca rústica; larga descripción rural"
idealista;2026-08-24;;1300.0;4.0;110.0;Centro;3ª;True;;False;temporada;"Dúplex Calle Aeroplano, 2 | 1300 | A pie de campus; 4 chicas universitarias; temporada"
idealista;2026-08-24;;900.0;0.0;45.0;Centro;1ª;True;;False;anual/no_especificado;"Estudio Centro | 900 | Estudio 40-45 m²; céntrico"
idealista;2026-08-24;;850.0;3.0;100.0;Haygon - Universidad;Bajo;False;;False;anual/no_especificado;Piso Calle Colonia Santa Isabel, 2 | 850 | Características no detalladas en resultado
idealista;2026-08-24;;1600.0;3.0;100.0;Villamontes-Boqueres;;False;;False;temporada;"Casa Calle del Gantxo, 3 | 1600 | Piscina privada; 2 baños + aseo; temporada"
idealista;2026-08-24;;825.0;2.0;80.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Pi y Margall, 71 | 825 | Amueblado; 10 min UA; TRAM/Cercanías"
idealista;2026-08-24;;899.0;3.0;100.0;Centro;3ª;True;;False;temporada;"Piso Calle Castellet, 6 | 899 | Estudiantes; a pasos de UA; temporada"
idealista;2026-08-24;;750.0;1.0;40.0;Alcalde Felipe Mallol;2ª;True;;False;anual/no_especificado;"Piso Alcalde Felipe Mallol | 750 | Larga estancia; estudio; 2 balcones"
idealista;2026-08-24;;850.0;3.0;105.0;Centro;2ª;False;;False;anual/no_especificado;"Piso Calle Velázquez, 32 | 850 | Larga estancia; amueblado; cerca TRAM y universidad"
idealista;2026-08-24;;1080.0;3.0;95.0;Centro;4ª;True;;False;anual/no_especificado;"Piso Calle Bailén, 65 | 1080 | Preferiblemente estudiantes; 5 min UA"
idealista;2026-08-24;;1450.0;5.0;120.0;Centro;2ª;False;;False;temporada;"Piso Calle Montoyos | 1450 | 5 dormitorios; 15 min UA; temporada"
