id;mercado;tipo_oferta;fuente;fecha_captura;temporada;habitaciones;m2;banos;zona;tiene_precio;unidad_precio;precio_eur_mes;precio_eur_noche;precio_eur_venta;precio_por_m2;es_comparable_arquetipo;marca_calidad;descripcion
1;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;100.0;;Haygon - Universidad;True;EUR/mes;850.0;;;8.5;True;;Piso Calle Colonia Santa Isabel, 2 | 850 | Características no detalladas en resultado
2;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;160.0;;Centro;True;EUR/mes;1350.0;;;8.44;False;;"Chalet Calle Doctor Marañón, 13 | 1350 | Garaje; piscina; 300 m TRAM; junto Villa Universitaria"
3;alquiler_residencial;temporada;idealista;2026-08-24;;3;112.0;;Alcalde Felipe Mallol;True;EUR/mes;1050.0;;;9.38;False;;"Casa pueblo Alcalde Felipe Mallol | 1050 | Larga temporada; garaje"
4;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;115.0;;Centro;True;EUR/mes;1200.0;;;10.43;False;;"Dúplex Calle Portugal, 2 | 1200 | 2 habitaciones disponibles; chicas estudiantes"
5;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;110.0;;Alcalde Felipe Mallol;True;EUR/mes;990.0;;;9.0;True;;"Piso Calle Alicante s/n | 990 | Solo estudiantes; TRAM; 2 baños"
6;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;90.0;;Centro;True;EUR/mes;1200.0;;;13.33;True;;"Piso Centro | 1200 | Ático estudiantes; frente universidad; suministros incluidos"
7;alquiler_residencial;temporada;idealista;2026-08-24;;4;121.0;;Centro;True;EUR/mes;1200.0;;;9.92;False;;"Piso Bautista Aznar | 1200 | Exclusivo estudiantes UA; temporada"
8;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;95.0;;Centro;True;EUR/mes;850.0;;;8.95;True;;"Piso Gral Ibáñez | 850 | Curso estudiantes; amueblado"
9;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;90.0;;Centro;True;EUR/mes;1300.0;;;14.44;False;;"Piso Centro | 1300 | Estudiantes; 4 habitaciones; 2 baños"
10;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;100.0;;Los Girasoles;True;EUR/mes;1300.0;;;13.0;True;;"Casa Los Girasoles | 1300 | Adosado; suministros incluidos"
11;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;83.0;;Alcalde Felipe Mallol;True;EUR/mes;900.0;;;10.84;True;;"Piso Alcalde Felipe Mallol | 900 | Estudiantes; gastos incluidos"
12;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;95.0;;Centro;True;EUR/mes;900.0;;;9.47;True;;"Piso Centro | 900 | Estudiantes; muy cerca UA"
13;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;120.0;;Centro;True;EUR/mes;1250.0;;;10.42;True;;"Piso Ciudad Jardín | 1250 | Estudiantes UA; moderno; 98 m² útiles"
14;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;100.0;;Centro;True;EUR/mes;930.0;;;9.3;True;;"Piso Calle Alicante, 66 | 930 | Escasos metros campus; preferiblemente estudiantes"
15;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;100.0;;Centro;True;EUR/mes;1400.0;;;14.0;True;;"Piso Calle Portugal | 1400 | Exclusivo estudiantes; <5 min UA"
16;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;90.0;;Centro;True;EUR/mes;1000.0;;;11.11;True;;"Piso Centro | 1000 | Estudiantes; Lo Torrent; suministros"
17;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;1;80.0;;Alcalde Felipe Mallol;True;EUR/mes;770.0;;;9.62;False;;"Piso Alcalde Felipe Mallol | 770 | Garaje incluido; disponible septiembre 2026"
18;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;90.0;;Sol y Luz;True;EUR/mes;1100.0;;;12.22;True;;"Piso Avenida l'Almàssera, 23 | 1100 | Piscina; juegos; garaje; amueblado"
19;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;77.0;;Centro;True;EUR/mes;960.0;;;12.47;True;;"Piso Centro | 960 | Estudiantes; amueblado; cerca UA"
20;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;100.0;;Centro;True;EUR/mes;1050.0;;;10.5;True;;"Piso Centro | 1050 | Estudiantes; avenida principal; suministros no incluidos"
21;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;5;200.0;;Alcalde Felipe Mallol;True;EUR/mes;1250.0;;;6.25;False;;"Piso Alcalde Felipe Mallol | 1250 | Estudiantes; 18 min andando UA"
22;alquiler_residencial;temporada;idealista;2026-08-24;;1;30.0;;Villamontes-Boqueres;True;EUR/mes;750.0;;;25.0;False;;"Casa Partida Boqueres | 750 | Temporada; jardín 90 m²"
23;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;2;75.0;;Los Girasoles;True;EUR/mes;1250.0;;;16.67;False;;"Casa Camino de la Providencia | 1250 | Chalet independiente; sin amueblar"
24;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;100.0;;Centro;True;EUR/mes;1300.0;;;13.0;False;;"Piso Centro | 1300 | Estudiantes; alquiler 11 meses"
25;alquiler_residencial;temporada;idealista;2026-08-24;;3;164.0;;Centro;True;EUR/mes;1100.0;;;6.71;False;;"Casa Calle Capitán Torregrosa, 8 | 1100 | Vivienda entera para 3 estudiantes; temporada/larga"
26;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;106.0;;Centro;True;EUR/mes;900.0;;;8.49;True;;"Piso Castellet, 6 | 900 | Solo estudiantes UA; 10 meses"
27;alquiler_residencial;temporada;idealista;2026-08-24;;4;110.0;;Centro;True;EUR/mes;1500.0;;;13.64;False;;"Dúplex Calle Aeroplano, 2 | 1500 | Reformado; 4 dormitorios; temporada"
28;alquiler_residencial;temporada;idealista;2026-08-24;;2;75.0;;Centro;True;EUR/mes;800.0;;;10.67;False;;"Piso Calle Bautista Aznar | 800 | 200 m UA; estudiantes; temporada"
29;alquiler_residencial;temporada;idealista;2026-08-24;;0;42.0;;Centro;True;EUR/mes;630.0;;;15.0;False;;"Estudio Calle Pizarro | 630 | 200 m UA; estudiantes; temporada"
30;alquiler_residencial;temporada;idealista;2026-08-24;;4;110.0;;Centro;True;EUR/mes;1200.0;;;10.91;False;;"Piso Calle San Isidro, 30 | 1200 | Estudiantes; 10 min UA; temporada"
31;alquiler_residencial;temporada;idealista;2026-08-24;;4;90.0;;Centro;True;EUR/mes;980.0;;;10.89;False;;"Piso en Calle Torres Quevedo, 29 | 980 | Temporada lectiva estudiantes; terraza"
32;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;2;65.0;;Los Girasoles;True;EUR/mes;800.0;;;12.31;False;;"Casa independiente Ronda del Mahones, 14 | 800 | Curso 26/27; estudiantes; suministros incluidos; garaje"
33;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;102.0;;Centro;True;EUR/mes;900.0;;;8.82;True;;"Piso Calle Pintor Murillo, 9 | 900 | Curso escolar; preferentemente estudiantes"
34;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;95.0;;Centro;True;EUR/mes;1000.0;;;10.53;True;;"Piso Calle Bailén, 65 | 1000 | Larga estancia; no estudiantes"
35;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;1;50.0;;Sol y Luz;True;EUR/mes;850.0;;;17.0;False;;"Casa de campo Camino de la Sendera | 850 | Finca rústica; larga descripción rural"
36;alquiler_residencial;temporada;idealista;2026-08-24;;4;110.0;;Centro;True;EUR/mes;1300.0;;;11.82;False;;"Dúplex Calle Aeroplano, 2 | 1300 | A pie de campus; 4 chicas universitarias; temporada"
37;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;0;45.0;;Centro;True;EUR/mes;900.0;;;20.0;False;;"Estudio Centro | 900 | Estudio 40-45 m²; céntrico"
38;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;80.0;;Centro;True;EUR/mes;1000.0;;;12.5;True;;"Piso Calle Salamanca, 10 | 1000 | Larga estancia; solvencia requerida"
39;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;3;100.0;1.0;Norte;True;EUR/mes;950.0;;;9.5;True;;"Norte | 950 | Vivienda completa; sin indicación de estudiantes"
40;alquiler_residencial;temporada;idealista;2026-08-24;;3;100.0;;Villamontes-Boqueres;True;EUR/mes;1600.0;;;16.0;False;;"Casa Calle del Gantxo, 3 | 1600 | Piscina privada; 2 baños + aseo; temporada"
41;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;2;80.0;;Centro;True;EUR/mes;825.0;;;10.31;False;;"Piso Pi y Margall, 71 | 825 | Amueblado; 10 min UA; TRAM/Cercanías"
42;alquiler_residencial;temporada;idealista;2026-08-24;;3;100.0;;Centro;True;EUR/mes;899.0;;;8.99;False;;"Piso Calle Castellet, 6 | 899 | Estudiantes; a pasos de UA; temporada"
43;alquiler_residencial;temporada;idealista;2026-08-24;;3;90.0;;Centro;True;EUR/mes;840.0;;;9.33;False;;"Piso Núñez de Balboa, 2 | 840 | Solo estudiantes; temporada"
44;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;1;40.0;;Alcalde Felipe Mallol;True;EUR/mes;750.0;;;18.75;False;;"Piso Alcalde Felipe Mallol | 750 | Larga estancia; estudio; 2 balcones"
45;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;105.0;;Centro;True;EUR/mes;850.0;;;8.1;True;;"Piso Calle Velázquez, 32 | 850 | Larga estancia; amueblado; cerca TRAM y universidad"
46;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;1;98.0;;Centro;True;EUR/mes;1520.0;;;15.51;False;;"Piso Manuel Domínguez Margarit, 14-16 | 1520 | Solo estudiantes; 4 habitaciones a 395 € cada una"
47;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;500.0;;Villamontes-Boqueres;True;EUR/mes;2400.0;;;4.8;False;;"Chalet Calle Gorrión, 9 | 2400 | Garaje; vivienda grande; afueras"
48;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;95.0;;Centro;True;EUR/mes;1080.0;;;11.37;True;;"Piso Calle Bailén, 65 | 1080 | Preferiblemente estudiantes; 5 min UA"
49;alquiler_residencial;temporada;idealista;2026-08-24;;4;100.0;;Centro;True;EUR/mes;1200.0;;;12.0;False;;"Piso Avenida de Sevilla | 1200 | Solo estudiantes; temporada"
50;alquiler_residencial;temporada;idealista;2026-08-24;;5;120.0;;Centro;True;EUR/mes;1450.0;;;12.08;False;;"Piso Calle Montoyos | 1450 | 5 dormitorios; 15 min UA; temporada"
51;alquiler_residencial;temporada;idealista;2026-08-24;;3;90.0;;Alcalde Felipe Mallol;True;EUR/mes;900.0;;;10.0;False;;"Piso Centro, Alcalde Felipe Mallol | 900 | Solo estudiantes; patio grande; temporada"
52;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;5;100.0;;Centro;True;EUR/mes;1900.0;;;19.0;False;;"Piso Avenida de la Llibertat, 13 | 1900 | Reformado; estudiantes; junto UA"
53;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;130.0;;Centro;True;EUR/mes;1200.0;;;9.23;False;;"Piso Calle Gabriel Miró, 34 | 1200 | Por habitaciones; estudiantes; 5 min UA"
54;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;90.0;;Centro;True;EUR/mes;990.0;;;11.0;True;;"Piso en Calle San Juan, 27 | 990 | Solo estudiantes; sep-2026 a jul-2027"
55;alquiler_residencial;temporada;fotocasa;2026-08-24;;2;80.0;1.0;Norte;True;EUR/mes;900.0;;;11.25;False;;"190?MANUELDOMINGUEZ | 900 | Reformado; amueblado; sin ascensor"
56;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;2;75.0;2.0;Parque Lo Torrent;True;EUR/mes;1150.0;;;15.33;False;;"190?RIUALGAR | 1150 | Piscina; garaje; terraza; amueblado"
57;alquiler_residencial;temporada;fotocasa;2026-08-24;;3;75.0;1.0;Norte;True;EUR/mes;900.0;;;12.0;False;;"190?PINTORSOROLLA | 900 | Exclusivamente estudiantes 2026/27; WiFi incluido"
58;alquiler_residencial;temporada;fotocasa;2026-08-24;;1;;1.0;Centro;True;EUR/mes;1275.0;;;;False;;190?ESTUDIO1 | 1275 | Estudios para estudiantes/personal UA
59;alquiler_residencial;temporada;fotocasa;2026-08-24;;3;;;Centro;True;EUR/mes;1050.0;;;;False;;"190?GENERALIBANEZ2 | 1050 | Solo estudiantes; reformado"
60;alquiler_residencial;temporada;fotocasa;2026-08-24;;4;95.0;2.0;Centro;True;EUR/mes;900.0;;;9.47;False;;190?TIBI2 | 900 | Solo chicas estudiantes
61;alquiler_residencial;temporada;fotocasa;2026-08-24;;4;90.0;2.0;Norte;True;EUR/mes;1000.0;;;11.11;False;;190?ALCORAYA2 | 1000 | Exclusivo estudiantes
62;alquiler_residencial;temporada;fotocasa;2026-08-24;;3;;;Centro;True;EUR/mes;1050.0;;;;False;;"190?PARTICULARES | 1050 | Solo estudiantes; recién reformado"
63;alquiler_residencial;temporada;fotocasa;2026-08-24;;1;;;Centro;True;EUR/mes;1275.0;;;;False;;"190?ESTUDIO2 | 1275 | Estudio completo; equipamiento premium"
64;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;2;56.0;1.0;Centro;True;EUR/mes;950.0;;;16.96;False;;"Centro | 950 | Amueblado; terraza"
65;alquiler_residencial;temporada;fotocasa;2026-08-24;;3;92.0;1.0;Centro;True;EUR/mes;1050.0;;;11.41;False;;"Calle General Ibáñez, 31 | 1050 | Solo estudiantes; reformado"
66;alquiler_residencial;temporada;fotocasa;2026-08-24;;3;100.0;1.0;Centro;True;EUR/mes;900.0;;;9.0;False;;"Piso con terraza en Centro | 900 | Reformado; próximo bus/TRAM; biblioteca"
