fuente;titulo;categoria;noches;precio_total;precio_noche;valoracion;num_valoraciones;posible_duplicado_cruzado
airbnb;Luminoso apartamento de 4 dormitorios cerca de Alicante;vivienda_completa;5;650.0;130.0;5.0;4.0;False
airbnb;Studio 2 pers. + baño privado a 3 min de la Uni;habitacion/hotel;5;335.0;67.0;4.56;61.0;True
airbnb;Lo conozco bien.;habitacion/hotel;5;216.0;43.2;;;False
airbnb;Exclusivo apartamento MC;vivienda_completa;5;497.0;99.4;4.75;143.0;False
airbnb;habitación privada y tranquila;habitacion/hotel;5;168.0;33.6;4.74;27.0;False
airbnb;Apartamento moderno en el casco antiguo;vivienda_completa;5;735.0;147.0;4.79;14.0;False
airbnb;Villa Sensation Seasons mediterránea;villa;5;4927.0;985.4;4.83;6.0;True
airbnb;Piso moderno a 15' de la playa.;vivienda_completa;5;595.0;119.0;4.17;6.0;False
airbnb;Villa Haygon con piscina climatizada, bbq y sauna;villa;5;2420.0;484.0;4.92;146.0;False
airbnb;Alquiler Habitación. Excelente muy cerca de la UA.;habitacion/hotel;5;250.0;50.0;5.0;12.0;False
booking;Villa Alojamiento y Congresos - Villa Universitaria;habitacion/hotel;3;238.0;79.33333333333333;8.4;766.0;False
booking;Micampus Alicante Student Residence;habitacion/hotel;3;278.0;92.66666666666667;8.1;1055.0;False
booking;Bella Residence;habitacion/hotel;3;223.0;74.33333333333333;8.2;564.0;False
booking;UNIVERSA Hoteles;habitacion/hotel;3;345.0;115.0;9.2;912.0;False
booking;Europa House Village;habitacion/hotel;3;211.0;70.33333333333333;8.0;600.0;False
booking;Spacious Studio by the University;vivienda_completa;3;367.0;122.33333333333333;8.2;22.0;False
booking;Habitación con baño privado frente a la piscina;habitacion/hotel;3;225.0;75.0;8.6;98.0;True
booking;Mirador Parque;vivienda_completa;3;313.0;104.33333333333333;9.7;3.0;False
booking;Villa mulet;villa;3;850.0;283.3333333333333;9.1;12.0;False
booking;Villa Lago 2;villa;3;1087.0;362.3333333333333;7.5;4.0;False
booking;Mediterranean Seasons Sensation Villa;villa;3;4055.0;1351.6666666666667;9.7;3.0;True
booking;Mobilhome mit Garten und Pool;vivienda_completa;3;638.0;212.66666666666666;7.5;2.0;False
