habitaciones;plazas;tipo_vivienda;regimen;direccion;precio_declarado;precio_num;tipo_oferta;tipo_oferta_simplificado;periodo_minimo_meses;fecha_oferta;servicios_incluidos;observaciones;es_duplicado
4;4;P;A;C/ Sevilla, 2 Esc. A3 3º;275€;275.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;11.0;2026-08-25;Ascensor|Comunidad;a 5 minutos andando al centro de salud y la universidad;False
3;3;P;A;C/ Ciudad Jardín, 2 Esc. Drcha 1º;285€;285.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;;2026-08-25;Ascensor|Comunidad;Muebles nuevos. Junto UA;False
3;3;P;A;C/ Ancha de Castelar, 8;900€;900.0;piso_completo;piso_completo;11.0;2026-08-25;Internet|Ascensor|Comunidad;Todo exterior, 2 baños, junto parada del bus;False
3;1;P;CO;C/ Doctor Fleming, 40 2º B;350€;350.0;habitacion;habitacion;5.0;2026-08-25;Internet|Ascensor|Agua|Luz|Comunidad;;False
4;2;P;CO;C/ Calderón de la Barca, 32 1º;235€;235.0;habitacion;habitacion;;2026-08-24;;Habitaciones amplias y luminosas;False
4;1;P;A;C/ Hernán Cortes, 2 3 C;200€;200.0;habitacion (regimen A pero texto indica precio por habitacion);habitacion;11.0;2026-08-24;Certificado energético|Ascensor|Comunidad;Se busca un compañero para completar un piso de 4 habitaciones. A 200 metros de la universidad;False
3;3;P;A;Carrer Riu Algar, 30 3;1100€;1100.0;piso_completo;piso_completo;10.0;2026-08-24;Certificado energético|Internet|Ascensor|Comunidad;;False
4;1;P;A;C/ Elche, 13 3;270€;270.0;habitacion (regimen A pero texto indica precio por habitacion);habitacion;9.0;2026-08-23;Internet;Se alquila habitación en piso compartido a chica;False
5;1;T;CO;C/ Ciprés, 9;459€;459.0;habitacion;habitacion;6.0;2026-08-21;Comunidad|Agua|Luz|Gas|Internet;;False
4;1;P;CO;C/ Portugal, 1 1 22;300€;300.0;habitacion;habitacion;10.0;2026-08-20;Internet|Ascensor|Comunidad|Gas;Se alquila habitación para chico estudiante. Piso de 4 habitaciones. Hay 3 chicos estudiantes entre 19 y 23 años.;False
3;1;P;A;C/ Madrid, 16 1º D;250€;250.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;10.0;2026-08-19;Internet|Ascensor;;False
3;1;P;CO;C/ Madrid, 16 1 D;750€;750.0;habitacion;habitacion;9.0;2026-08-19;Comunidad|Gas;Piso todo exterior esquina, enfrente parque y apeadero tren;False
6;2;E;CO;C/ Alicante, 76 3;550€;550.0;habitacion;habitacion;10.0;2026-08-17;Certificado energético|Internet|Ascensor|Comunidad|Agua|Luz|Gas|Telefono;Las habitaciones disponen de nevera, TV, microondas. Todas dan al exterior. Habitaciones grandes. La luz la paga el propietario hasta 200€/mes;False
3;3;A;A;C/ Blasco Ibánez, 31 3;1050€;1050.0;piso_completo;piso_completo;10.0;2026-08-17;Internet|Comunidad|Telefono;;False
4;1;P;A;C/ Sevilla, 1;250€;250.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;12.0;2026-08-17;Certificado energético|Comunidad;Muy cerca de la universidad, 2 baños. Persona respetuosa y responsable;False
3;1;P;CO;Avd. Libertad, 41;320€;320.0;habitacion;habitacion;8.0;2026-08-15;Internet|Ascensor|Comunidad;;False
3;1;A;CO;C/ Benlliure, 32 3º;270€;270.0;habitacion;habitacion;12.0;2026-08-15;Certificado energético|Internet|Comunidad;Tercero sin ascensor. 3 habitaciones, 1 baño, cocina muy amplia con comedor, lavavajillas, aire acondicionado, televisor 50''.;False
4;1;A;A;C/ Francia, 1 38;250€;250.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;12.0;2026-08-15;Internet|Ascensor|Comunidad;;False
2;1;P;CO;C/ Goya, 40;350€;350.0;habitacion;habitacion;10.0;2026-08-14;Ascensor|Comunidad;Se busca compañero/a de piso 26/27. Idóneo para profesor o profesora. El piso tiene 2 habitaciones y 2 baños.;False
4;4;P;A;C. Cervantes, 24 2 Izq;1000€;1000.0;piso_completo;piso_completo;10.0;2026-08-14;Certificado energético|Ascensor|Comunidad;;False
3;1;C;A;C/ Juan Ramón Jiménez, 19;275€;275.0;habitacion (regimen A pero texto indica precio por habitacion);habitacion;11.0;2026-08-13;Internet;Busco chica (estudiante UA) para completar planta baja independiente. Última habitación. Sólo chicas. A 15 min de la Universidad. Un baño y aseo. Tres habitaciones.;False
4;4;P;A;C/ Portugal, 2 3 26;1200€ / 300€ hab.;1200.0;piso_completo;piso_completo;;2026-08-13;Ascensor|Comunidad;Alquilo dúplex junto a la universidad. 4 habitaciones, 2 baños, cocina nueva y salón. Para estudiantes curso 2026/27. 1200€ completo o 399€ habitación.;False
4;4;P;A;C/ Cura Fco. Maestre, 12 2° B;1200€;1200.0;piso_completo;piso_completo;11.0;2026-08-13;Certificado energético|Ascensor|Comunidad;Piso 120m2, 4 dormitorios, 2 baños, amplio salón, cocina y galería. Ascensor. Muy cerca universidad.;False
5;5;P;A;C/ Pintor Picasso, 51 3 Izq;390€;390.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;10.0;2026-08-12;Certificado energético|Internet|Comunidad|Agua|Gas;Piso recién reformado. Todo a estrenar. Habitaciones muy amplias. 2 baños completos. Excelente ubicación al lado del Ayuntamiento.;False
3;3;P;A;Avd. 3 de abril de 1979, 54;450€;450.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;;2026-08-11;Certificado energético|Comunidad|Agua|Luz|Gas|Telefono|Internet;Se alquilan tres habitaciones para estudiantes en urbanización con piscina a menos de diez minutos andando de la universidad.;False
3;3;A;A;C/ Doctor Fleming, 37;750€;750.0;piso_completo;piso_completo;10.0;2026-08-11;Ascensor|Comunidad;Piso completo solo para estudiantes de la UA (preferiblemente chicas) con dos cuartos de baño. 3 habitaciones, amplia cocina y comedor.;False
