fuente;precio;habitaciones;m2;zona;tipo_vivienda;texto_original;precio_m2;es_duplicado_cruzado;es_outlier_lujo
idealista;595000.0;5;575.0;;chalet/villa;595.000€ | Garaje incluido|5 hab.|575 m² | Villa;1035.0;False;False
idealista;695000.0;5;221.0;;chalet/villa;695.000€ | Garaje incluido|5 hab.|221 m² | Villa;3145.0;False;False
idealista;589000.0;4;168.0;;piso;589.000€ | Garaje incluido|4 hab.|168 m² | ;3506.0;False;False
idealista;449000.0;3;110.0;;piso;449.000€ | 3 hab.|110 m² | ;4082.0;False;False
idealista;300000.0;3;117.0;;piso;300.000€ | Garaje incluido|3 hab.|117 m²|6ª planta exterior con ascensor | ;2564.0;False;False
idealista;785000.0;7;450.0;;chalet/villa;785.000€ | Garaje incluido|7 hab.|450 m² | Villa;1744.0;False;False
idealista;550000.0;4;293.0;;chalet/villa;550.000€ | Garaje incluido|4 hab.|293 m² | Villa;1877.0;False;False
idealista;675000.0;4;310.0;;chalet/villa;675.000€ | Garaje incluido|4 hab.|310 m² | Villa;2177.0;False;False
idealista;599000.0;4;310.0;;chalet/villa;599.000€ | Garaje incluido|4 hab.|310 m² | Villa;1932.0;False;False
idealista;319900.0;4;130.0;;piso;319.900€ | Garaje incluido|4 hab.|130 m²|1ª planta exterior con ascensor | ;2461.0;False;False
idealista;318000.0;3;94.0;;piso;318.000€ | Garaje incluido|3 hab.|94 m²|7ª planta exterior con ascensor | ;3383.0;False;False
idealista;99950.0;2;62.0;;piso;99.950€ | 2 hab.|62 m²|5ª planta exterior sin ascensor | ;1612.0;False;False
idealista;230000.0;3;109.0;;piso;230.000€ | 3 hab.|109 m²|5ª planta exterior con ascensor | ;2110.0;False;False
idealista;359950.0;5;2762.0;;piso;359.950€ | Garaje incluido|5 hab.|2.762 m² | ;130.0;False;False
idealista;319900.0;4;188.0;;piso;319.900€ | Garaje incluido|4 hab.|188 m²|1ª planta exterior con ascensor | ;1702.0;False;False
idealista;550000.0;4;293.0;;chalet/villa;550.000€ | Garaje incluido|4 hab.|293 m² | Villa;1877.0;False;False
idealista;280000.0;2;71.0;;piso;280.000€ | 2 hab.|71 m²|3ª planta exterior con ascensor | Luminoso;3944.0;False;False
idealista;498000.0;5;280.0;;piso;498.000€ | Garaje incluido|5 hab.|280 m² | ;1779.0;False;False
idealista;649000.0;4;364.0;;chalet/villa;649.000€ | Garaje incluido|4 hab.|364 m² | Villa;1783.0;False;False
idealista;219000.0;2;93.0;;piso;219.000€ | Garaje incluido|2 hab.|93 m²|2ª planta exterior con ascensor | ;2355.0;False;False
idealista;690000.0;4;446.0;;piso;690.000€ | Garaje incluido|4 hab.|446 m² | ;1547.0;False;False
