direccion;superficie_m2;dormitorios;plazas_totales;rural;estudio;fecha_alta;signatura;es_duplicado
PD RASPEIG POLIG G, 52, Pl:01;274.0;1;2;S;N;2024-11-10T00:00:00;CV-VUT0512669-A;False
PD RASPEIG POLIG F, 50, Es:T Pl:OD Pt:OS;104.0;2;4;S;N;2025-02-26T00:00:00;CV-VUT0514567-A;False
CL SAN VICENTE, 51, Es:1 Pl:02 Pt:DR;111.0;4;7;N;N;2025-02-24T00:00:00;CV-VUT0514446-A;False
AV ALMASSERA DE L', 26, Bloque:3 Es:4 Pl:03 Pt:Z;123.0;3;6;N;N;2025-02-27T00:00:00;CV-VUT0514536-A;False
AV ANCHA CASTELAR, 22, Es:1 Pl:04 Pt:01;212.0;5;9;N;N;2025-02-20T00:00:00;CV-VUT0514403-A;False
AV HAYGON, 24, Es:T Pl:OD Pt:OS;317.0;5;10;N;N;2021-04-13T00:00:00;CV-VUT0485628-A;False
AV HAYGON, 41A, Es:T Pl:OD Pt:OS;202.0;5;8;N;N;2026-02-04T00:00:00;CV-VUT0520085-A;False
AV SEVILLA, 10, Es:1 Pl:02 Pt:B;186.0;3;6;N;N;2015-05-29T00:00:00;CV-VUT0443247-A;False
AV SEVILLA, 10, Es:2 Pl:04 Pt:D;143.0;2;3;N;N;2024-03-25T00:00:00;CV-VUT0506549-A;False
CL ABEDUL, 14, Es:T Pl:OD Pt:OS;480.0;7;14;N;N;2025-05-13T00:00:00;CV-VUT0516449-A;False
CL ACACIAS, 6, Es:T Pl:OD Pt:OS;470.0;5;10;N;N;2022-02-28T00:00:00;CV-VUT0488782-A;False
CL ALC RAMON ORTS GALAN, 8, Es:2 Pl:07 Pt:A;85.0;2;4;N;N;2017-01-25T00:00:00;CV-VUT0452617-A;False
CL ALFONSO XIII, 15, Es:1 Pl:EN Pt:2A;98.0;1;2;N;N;2023-05-16T00:00:00;CV-VUT0498136-A;False
CL ALFONSO XIII, 54, Es:1 Pl:00 Pt:A;66.0;2;4;N;N;2023-07-07T00:00:00;CV-VUT0500283-A;False
