estrategia,mes_absoluto,anio,mes_calendario,fecha,ocupacion_asumida,ingreso_bruto,gastos,ingreso_neto,ingreso_neto_acumulado,balance_acumulado,roi_acumulado
1. Residencial anual,1,1,9,2026-09-01,0.95,912.0,212.92933958333333,699.0706604166667,699.0706604166667,-263425.4293395833,0.002937888885970442
2. Estudiantil x habitacion,1,1,9,2026-09-01,0.95,833.625,207.83496458333332,625.7900354166667,625.7900354166667,-263498.70996458334,0.002629922401414863
3. Turistico (Airbnb/Booking),1,1,9,2026-09-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,1556.2195795468597,-262568.2804204531,0.006540111702235174
4. Mixto (curso+verano),1,1,9,2026-09-01,0.95,833.625,207.83496458333332,625.7900354166667,625.7900354166667,-263498.70996458334,0.002629922401414863
1. Residencial anual,2,1,10,2026-10-01,0.95,912.0,212.92933958333333,699.0706604166667,1398.1413208333333,-262726.35867916665,0.005875777771940884
2. Estudiantil x habitacion,2,1,10,2026-10-01,0.95,833.625,207.83496458333332,625.7900354166667,1251.5800708333334,-262872.9199291667,0.005259844802829726
3. Turistico (Airbnb/Booking),2,1,10,2026-10-01,0.625,2760.7,1256.5383395833335,1504.1616604166666,3060.3812399635262,-261064.11876003648,0.01286144669032791
4. Mixto (curso+verano),2,1,10,2026-10-01,0.95,833.625,207.83496458333332,625.7900354166667,1251.5800708333334,-262872.9199291667,0.005259844802829726
1. Residencial anual,3,1,11,2026-11-01,0.95,912.0,212.92933958333333,699.0706604166667,2097.21198125,-262027.28801875,0.008813666657911326
2. Estudiantil x habitacion,3,1,11,2026-11-01,0.95,833.625,207.83496458333332,625.7900354166667,1877.37010625,-262247.12989375,0.007889767204244589
3. Turistico (Airbnb/Booking),3,1,11,2026-11-01,0.6,2650.272,1217.2227795833332,1433.049220416667,4493.430460380193,-259631.0695396198,0.01888392712914559
4. Mixto (curso+verano),3,1,11,2026-11-01,0.95,833.625,207.83496458333332,625.7900354166667,1877.37010625,-262247.12989375,0.007889767204244589
1. Residencial anual,4,1,12,2026-12-01,0.95,912.0,212.92933958333333,699.0706604166667,2796.2826416666667,-261328.21735833332,0.011751555543881768
2. Estudiantil x habitacion,4,1,12,2026-12-01,0.95,833.625,207.83496458333332,625.7900354166667,2503.1601416666667,-261621.33985833335,0.010519689605659452
3. Turistico (Airbnb/Booking),4,1,12,2026-12-01,0.575,2539.8439999999996,1177.9072195833332,1361.9367804166666,5855.36724079686,-258269.13275920314,0.02460755301868821
4. Mixto (curso+verano),4,1,12,2026-12-01,0.95,833.625,207.83496458333332,625.7900354166667,2503.1601416666667,-261621.33985833335,0.010519689605659452
1. Residencial anual,5,1,1,2027-01-01,0.95,912.0,212.92933958333333,699.0706604166667,3495.3533020833333,-260629.14669791667,0.01468944442985221
2. Estudiantil x habitacion,5,1,1,2027-01-01,0.95,833.625,207.83496458333332,625.7900354166667,3128.9501770833335,-260995.54982291666,0.013149612007074317
3. Turistico (Airbnb/Booking),5,1,1,2027-01-01,0.5566987298107781,2459.005093421784,1149.1262321353106,1309.8788612864735,7165.246102083333,-256959.25389791667,0.030112402194088395
4. Mixto (curso+verano),5,1,1,2027-01-01,0.95,833.625,207.83496458333332,625.7900354166667,3128.9501770833335,-260995.54982291666,0.013149612007074317
1. Residencial anual,6,1,2,2027-02-01,0.95,912.0,212.92933958333333,699.0706604166667,4194.4239625,-259930.0760375,0.01762733331582265
2. Estudiantil x habitacion,6,1,2,2027-02-01,0.95,833.625,207.83496458333332,625.7900354166667,3754.7402125,-260369.7597875,0.015779534408489178
3. Turistico (Airbnb/Booking),6,1,2,2027-02-01,0.5499999999999999,2429.4159999999997,1138.5916595833332,1290.8243404166667,8456.0704425,-255668.4295575,0.03553717353435596
4. Mixto (curso+verano),6,1,2,2027-02-01,0.95,833.625,207.83496458333332,625.7900354166667,3754.7402125,-260369.7597875,0.015779534408489178
1. Residencial anual,7,1,3,2027-03-01,0.95,912.0,212.92933958333333,699.0706604166667,4893.494622916667,-259231.00537708332,0.020565222201793097
2. Estudiantil x habitacion,7,1,3,2027-03-01,0.95,833.625,207.83496458333332,625.7900354166667,4380.530247916667,-259743.96975208333,0.01840945680990404
3. Turistico (Airbnb/Booking),7,1,3,2027-03-01,0.5566987298107781,2459.005093421784,1149.1262321353106,1309.8788612864735,9765.949303786474,-254358.55069621353,0.04104202270975614
4. Mixto (curso+verano),7,1,3,2027-03-01,0.95,833.625,207.83496458333332,625.7900354166667,4380.530247916667,-259743.96975208333,0.01840945680990404
1. Residencial anual,8,1,4,2027-04-01,0.95,912.0,212.92933958333333,699.0706604166667,5592.565283333333,-258531.93471666667,0.023503111087763536
2. Estudiantil x habitacion,8,1,4,2027-04-01,0.95,833.625,207.83496458333332,625.7900354166667,5006.3202833333335,-259118.17971666667,0.021039379211318904
3. Turistico (Airbnb/Booking),8,1,4,2027-04-01,0.575,2539.8439999999996,1177.9072195833332,1361.9367804166666,11127.886084203139,-252996.61391579686,0.046765648599298756
4. Mixto (curso+verano),8,1,4,2027-04-01,0.95,833.625,207.83496458333332,625.7900354166667,5006.3202833333335,-259118.17971666667,0.021039379211318904
1. Residencial anual,9,1,5,2027-05-01,0.95,912.0,212.92933958333333,699.0706604166667,6291.63594375,-257832.86405625,0.026440999973733975
2. Estudiantil x habitacion,9,1,5,2027-05-01,0.95,833.625,207.83496458333332,625.7900354166667,5632.11031875,-258492.38968125,0.02366930161273377
3. Turistico (Airbnb/Booking),9,1,5,2027-05-01,0.6,2650.272,1217.2227795833332,1433.049220416667,12560.935304619807,-251563.5646953802,0.05278812903811644
4. Mixto (curso+verano),9,1,5,2027-05-01,0.95,833.625,207.83496458333332,625.7900354166667,5632.11031875,-258492.38968125,0.02366930161273377
1. Residencial anual,10,1,6,2027-06-01,0.95,912.0,212.92933958333333,699.0706604166667,6990.706604166667,-257133.79339583335,0.02937888885970442
2. Estudiantil x habitacion,10,1,6,2027-06-01,0.95,833.625,207.83496458333332,625.7900354166667,6257.900354166667,-257866.59964583334,0.026299224014148633
3. Turistico (Airbnb/Booking),10,1,6,2027-06-01,0.625,2760.7,1256.5383395833335,1504.1616604166666,14065.096965036473,-250059.40303496353,0.059109464026209174
4. Mixto (curso+verano),10,1,6,2027-06-01,0.95,833.625,207.83496458333332,625.7900354166667,6257.900354166667,-257866.59964583334,0.026299224014148633
1. Residencial anual,11,1,7,2027-07-01,0.95,912.0,212.92933958333333,699.0706604166667,7689.777264583334,-256434.72273541667,0.03231677774567487
2. Estudiantil x habitacion,11,1,7,2027-07-01,0.3,263.25,170.76058958333334,92.48941041666667,6350.389764583333,-257774.11023541668,0.026687916640400645
3. Turistico (Airbnb/Booking),11,1,7,2027-07-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,15621.316544583333,-248503.18345541667,0.06564957572844435
4. Mixto (curso+verano),11,1,7,2027-07-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,7814.119933713527,-256310.38006628648,0.032839335716383804
1. Residencial anual,12,1,8,2027-08-01,0.95,912.0,212.92933958333333,699.0706604166667,8388.847925,-255735.652075,0.0352546666316453
2. Estudiantil x habitacion,12,1,8,2027-08-01,0.3,263.25,170.76058958333334,92.48941041666667,6442.879175,-257681.620825,0.02707660926665266
3. Turistico (Airbnb/Booking),12,1,8,2027-08-01,0.65,2871.128,1295.8538995833335,1575.274100416667,17196.590645,-246927.909355,0.07226976526581215
4. Mixto (curso+verano),12,1,8,2027-08-01,0.65,2871.128,1295.8538995833335,1575.274100416667,9389.394034130193,-254735.1059658698,0.0394595252537516
1. Residencial anual,13,2,9,2027-09-01,0.95,912.0,212.92933958333333,699.0706604166667,9087.918585416666,-255036.58141458334,0.038192555517615745
2. Estudiantil x habitacion,13,2,9,2027-09-01,0.95,833.625,207.83496458333332,625.7900354166667,7068.669210416667,-257055.83078958333,0.029706531668067523
3. Turistico (Airbnb/Booking),13,2,9,2027-09-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,18752.810224546858,-245371.68977545315,0.07880987696804731
4. Mixto (curso+verano),13,2,9,2027-09-01,0.95,833.625,207.83496458333332,625.7900354166667,10015.18406954686,-254109.31593045313,0.042089447655166465
1. Residencial anual,14,2,10,2027-10-01,0.95,912.0,212.92933958333333,699.0706604166667,9786.989245833334,-254337.51075416667,0.041130444403586194
2. Estudiantil x habitacion,14,2,10,2027-10-01,0.95,833.625,207.83496458333332,625.7900354166667,7694.459245833334,-256430.04075416666,0.032336454069482386
3. Turistico (Airbnb/Booking),14,2,10,2027-10-01,0.625,2760.7,1256.5383395833335,1504.1616604166666,20256.971884963525,-243867.5281150365,0.08513121195614005
4. Mixto (curso+verano),14,2,10,2027-10-01,0.95,833.625,207.83496458333332,625.7900354166667,10640.974104963527,-253483.52589503647,0.044719370056581324
1. Residencial anual,15,2,11,2027-11-01,0.95,912.0,212.92933958333333,699.0706604166667,10486.05990625,-253638.44009375,0.04406833328955663
2. Estudiantil x habitacion,15,2,11,2027-11-01,0.95,833.625,207.83496458333332,625.7900354166667,8320.24928125,-255804.25071875,0.03496637647089725
3. Turistico (Airbnb/Booking),15,2,11,2027-11-01,0.6,2650.272,1217.2227795833332,1433.049220416667,21690.021105380194,-242434.4788946198,0.09115369239495774
4. Mixto (curso+verano),15,2,11,2027-11-01,0.95,833.625,207.83496458333332,625.7900354166667,11266.764140380194,-252857.7358596198,0.04734929245799619
1. Residencial anual,16,2,12,2027-12-01,0.95,912.0,212.92933958333333,699.0706604166667,11185.130566666667,-252939.36943333334,0.04700622217552707
2. Estudiantil x habitacion,16,2,12,2027-12-01,0.95,833.625,207.83496458333332,625.7900354166667,8946.039316666667,-255178.46068333334,0.03759629887231211
