tipo;ubicacion;titulo;anfitrion;fechas;noches;precio_total;valoracion;num_valoraciones;en_san_vicente
Apartamento;Sant Vicent del Raspeig;Luminoso apartamento de 4 dormitorios cerca de Alicante;profesional;20-25 sept;5;650€;5,0;4;si
Hotel;San Vicente del Raspeig;Studio 2 pers. + baño privado a 3 min de la Uni;profesional;13-18 sept;5;335€;4,56;61;si
Habitación;San Vicente del Raspeig;Lo conozco bien.;particular;3-8 sept;5;216€;;;si
Vivienda;San Vicente del Raspeig;Exclusivo apartamento MC;particular;27 sept-2 oct;5;497€;4,75;143;si
Habitación;San Vicente del Raspeig;habitación privada y tranquila;particular;16-21 sept;5;168€;4,74;27;si
Vivienda;Muchamiel;Villa La Perla - Pool, Garden & Barbecue;profesional;1-6 sept;5;2332€;;;no
Apto. residencial;San Vicente del Raspeig;Apartamento moderno en el casco antiguo;particular;7-12 sept;5;735€;4,79;14;si
Habitación;Alicante;Habitación en casa compartida.;particular;29 sept-4 oct;5;137€;4,61;36;no
Vivienda;Muchamiel;Chalet con piscina cerca del mar;particular;1-6 sept;5;2342€;4,73;30;no
Villa;San Vicente del Raspeig;Villa Sensation Seasons mediterránea;profesional;5-10 sept;5;4927€;4,83;6;si
Vivienda;San Vicente del Raspeig;Piso moderno a 15' de la playa.;profesional;1-6 jul;5;595€;4,17;6;si
Apartamento;Alicante;Barocco Gran Via | 1 Hab 4 Pax | Piscina & Gym;profesional;6-11 sept;5;574€;4,54;76;no
Apartamento;Alicante;ALICANTE CENTRO, 10 MIN PLAYA. AMPLIO Y LUMINOSO;particular;4-9 oct;5;525€;4,9;48;no
Vivienda;San Vicente del Raspeig;Villa Haygon con piscina climatizada, bbq y sauna;particular;7-12 nov;5;2420€;4,92;146;si
Apartamento;Alicante;Increíble casa diáfana. Tu escape perfecto.;particular;24-29 oct;5;674€;4,93;192;no
Apartamento;Alicante;Apartamento moderno cerca de la playa en planta baja;particular;27 sept-2 oct;5;710€;5,0;20;no
Apartamento;Alicante;Apartamento de lujo y elegante centro de Alicante;profesional;13-18 sept;5;979€;4,79;97;no
Habitación;Sant Vicent del Raspeig;Alquiler Habitación. Excelente muy cerca de la UA.;particular;3-8 sept;5;250€;5,0;12;si
