fuente,fecha,alquiler_eur_m2
Idealista,2025-08,10.1
Idealista,2025-09,10.0
Idealista,2025-10,10.0
Idealista,2025-11,9.9
Idealista,2025-12,10.1
Idealista,2026-01,10.1
Idealista,2026-02,10.1
Idealista,2026-03,10.3
Idealista,2026-04,10.6
Idealista,2026-05,10.7
Idealista,2026-06,10.6
Idealista,2026-07,10.7
Fotocasa,2025-09,10.0
Fotocasa,2025-10,9.0
Fotocasa,2025-11,10.0
Fotocasa,2025-12,10.0
Fotocasa,2026-01,10.0
Fotocasa,2026-02,10.0
Fotocasa,2026-03,10.0
Fotocasa,2026-04,10.0
Fotocasa,2026-05,11.0
Fotocasa,2026-06,11.0
Fotocasa,2026-07,11.0
Fotocasa,2026-08,11.0
