fecha_captura,fuente,titulo_o_referencia,zona,precio_publicado_eur_mes,habitaciones,superficie_m2,planta,banos,tipo_alquiler,descripcion_resumida,ascensor
2026-08-24,Fotocasa,190466156,Centro,250,4,90.0,1.0,2.0,Larga duración,Habitaciones solo estudiantes,No
2026-08-24,Fotocasa,190505448,Centro,990,3,90.0,2.0,1.0,Larga duración,Solo estudiantes; septiembre 2026-julio 2027,No
2026-08-24,Fotocasa,190009165,Centro,900,3,900.0,,2.0,Larga duración,Solo estudiantes; junto Universidad,No
2026-08-24,Fotocasa,190321959,Centro,1200,4,127.0,,2.0,Temporada,Solo estudiantes UA; 10 min UA,Sí
2026-08-24,Fotocasa,190481876,Centro,1050,3,92.0,,1.0,Temporada,Solo estudiantes; reformado,Sí
2026-08-24,Fotocasa,190505611,Norte,1000,4,90.0,2.0,2.0,Larga duración,Exclusivo estudiantes; balcón; A/A,No
2026-08-24,Fotocasa,190442423,Norte,800,4,109.0,3.0,2.0,Temporada,Solo estudiantes; reformado,No
2026-08-24,Fotocasa,190135008,Norte,900,2,80.0,,1.0,Temporada,Reformado y amueblado,No
2026-08-24,Fotocasa,190359871,Centro,950,2,56.0,,1.0,Larga duración,Amueblado; terraza,No
2026-08-24,Fotocasa,190501040,Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes; 15 min UA,No
2026-08-24,Fotocasa,190131831,Centro,340,4,110.0,5.0,2.0,Larga duración,Solo estudiantes; 20 min UA; internet,Sí
2026-08-24,Fotocasa,190482569,Centro,1200,4,115.0,,2.0,Temporada,Dúplex junto UA; chicas estudiantes,Sí
2026-08-24,Fotocasa,190426057,Centro,810,3,120.0,1.0,2.0,Larga duración,Se alquilan habitaciones a 270 €/mes,No
2026-08-24,Fotocasa,190501594,Centro,1200,3,220.0,,2.0,Larga duración,Ático; 220 m²; piscina; garaje,Sí
2026-08-24,Fotocasa,190160237,Centro,900,3,85.0,,1.0,Temporada,Solo estudiantes,No
2026-08-24,Fotocasa,190?TIBI,Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes; 15 min UA,No
2026-08-24,Fotocasa,190?CURAFRANCISCO,Centro,1150,3,100.0,2.0,2.0,Larga duración,Amueblado; ascensor; balcón; A/A; calefacción,Sí
2026-08-24,Fotocasa,190?GENERALIBANEZ,Centro,1050,3,92.0,,1.0,Temporada,Solo estudiantes; reformado,No
2026-08-24,Fotocasa,190?HUERTA,Centro,825,3,110.0,0.0,1.0,Temporada,Solo estudiantes 2026/27,No
2026-08-24,Fotocasa,190?CARRERALCORAYA,Norte,1000,4,90.0,2.0,2.0,Temporada,Exclusivo estudiantes; balcón; A/A,No
2026-08-24,Fotocasa,190?MANUELDOMINGUEZ,Norte,900,2,80.0,1.0,1.0,Temporada,Reformado; amueblado; sin ascensor,No
