precio;zona;habitaciones;banos;m2;detalle
177.000€;El Tubo, San Vicente del Raspeig / Sant Vicent del Raspeig;3;1;80;3 habs·1 baño·80 m²·Trastero
224.800€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;4;2;100;4 habs·2 baños·100 m²·Ascensor·Terraza
42.000€;Haygon - Universidad, San Vicente del Raspeig / Sant Vicent del Raspeig;2;1;54;2 habs·1 baño·54 m²·5ª Planta
220.000€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;2;1;112;2 habs·1 baño·112 m²·Ascensor·Parking·Calefacción·Aire acondicionado
420.000€;Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig;3;2;130;3 habs·2 baños·130 m²·Terraza·Calefacción·Aire acondicionado·Trastero
1.065.000€;Los Girasoles, San Vicente del Raspeig / Sant Vicent del Raspeig;4;5;480;4 habs·5 baños·480 m²·Parking·Terraza·Piscina·Aire acondicionado·Trastero
186.000€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;2;1;72;2 habs·1 baño·72 m²·Bajos
117.000€;Haygon - Universidad, San Vicente del Raspeig / Sant Vicent del Raspeig;3;1;60;3 habs·1 baño·60 m²·1ª Planta
264.800€;Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig;3;2;90;3 habs·2 baños·90 m²·1ª Planta·Ascensor·Parking·Terraza·Aire acondicionado
300.000€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;3;2;116;3 habs·2 baños·116 m²·6ª Planta·Ascensor·Parking·Calefacción·Aire acondicionado
230.000€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;3;2;110;3 habs·2 baños·110 m²·5ª Planta·Ascensor·Calefacción·Aire acondicionado
249.000€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;4;2;104;4 habs·2 baños·104 m²·1ª Planta·Ascensor·Aire acondicionado
240.000€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;4;1;125;4 habs·1 baño·125 m²·1ª Planta·Terraza·Calefacción·Aire acondicionado
318.000€;Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig;3;2;94;3 habs·2 baños·94 m²·+15 planta·Ascensor·Parking·Terraza·Balcón
420.000€;Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig;3;2;191;3 habs·2 baños·191 m²·Parking·Terraza·Calefacción·Aire acondicionado·Trastero
250.000€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;3;2;100;3 habs·2 baños·100 m²·+15 planta·Ascensor·Balcón
312.000€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;3;2;125;3 habs·2 baños·125 m²·1ª Planta·Ascensor·Terraza·Aire acondicionado
319.900€;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;4;2;130;4 habs·2 baños·130 m²·1ª Planta·Ascensor·Parking·Terraza·Balcón
498.000€;Villamontes - Boqueres, San Vicente del Raspeig / Sant Vicent del Raspeig;5;3;280;5 habs·3 baños·280 m²·Parking·Terraza·Piscina·Aire acondicionado
498.000€;Villamontes - Boqueres, San Vicente del Raspeig / Sant Vicent del Raspeig;5;3;280;5 habs·3 baños·280 m²·Parking·Terraza·Piscina·Aire acondicionado
