fecha_captura,fuente,pagina,id_anuncio,titulo,precio_mes_eur,habitaciones,superficie_m2,zona,planta,ascensor,antiguedad_anuncio,descripcion_resumida,url_fuente
2026-09-10,Idealista,p1,112508781,Anuncio 112508781 (Centro),990,3,104,Centro,4ª planta,si,7 horas,Alquiler de temporada,https://www.idealista.com/inmueble/112508781/
2026-09-10,Idealista,p1,112363779,Anuncio 112363779 (Centro),1000,3,75,Centro,1ª planta,no,,,https://www.idealista.com/inmueble/112363779/
2026-09-10,Idealista,p1,112492572,Anuncio 112492572,850,3,83,,1ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112492572/
2026-09-10,Idealista,p1,104856742,Anuncio 104856742 (Centro),1050,3,95,Centro,3ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/104856742/
2026-09-10,Idealista,p1,112491266,Anuncio 112491266,1100,4,116,,,,,,https://www.idealista.com/inmueble/112491266/
2026-09-10,Idealista,p1,112288930,Anuncio 112288930 (Centro),990,3,92,Centro,3ª planta,no,2 minutos,Alquiler de temporada,https://www.idealista.com/inmueble/112288930/
2026-09-10,Idealista,p1,112460345,Anuncio 112460345 (Alcalde Felipe Mallol),1100,4,145,Alcalde Felipe Mallol,3ª planta,si,,,https://www.idealista.com/inmueble/112460345/
2026-09-10,Idealista,p1,112365401,Anuncio 112365401 (Centro),1000,4,110,Centro,1ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112365401/
2026-09-10,Idealista,p1,112079183,Anuncio 112079183 (Alcalde Felipe Mallol),900,3,117,Alcalde Felipe Mallol,3ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112079183/
2026-09-10,Idealista,p1,112474042,Anuncio 112474042 (Centro),1150,6,200,Centro,,,,Alquiler de temporada,https://www.idealista.com/inmueble/112474042/
2026-09-10,Idealista,p1,111950477,Anuncio 111950477 (Centro),900,4,100,Centro,3ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/111950477/
2026-09-10,Idealista,p1,112091993,Anuncio 112091993 (Centro),1100,4,110,Centro,3ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112091993/
2026-09-10,Idealista,p1,111974442,Anuncio 111974442 (Alcalde Felipe Mallol),700,,45,Alcalde Felipe Mallol,1ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/111974442/
2026-09-10,Idealista,p1,112472408,Anuncio 112472408 (Los Girasoles),3200,5,250,Los Girasoles,,,,Alquiler de temporada,https://www.idealista.com/inmueble/112472408/
2026-09-10,Idealista,p1,112435993,Anuncio 112435993 (Centro),900,3,90,Centro,1ª planta,si,,,https://www.idealista.com/inmueble/112435993/
2026-09-10,Idealista,p1,108392486,Anuncio 108392486 (Alcalde Felipe Mallol),980,4,111,Alcalde Felipe Mallol,3ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/108392486/
2026-09-10,Idealista,p1,112491229,Anuncio 112491229,1200,4,116,,,,,Alquiler de temporada,https://www.idealista.com/inmueble/112491229/
2026-09-10,Idealista,p1,108615751,Anuncio 108615751,900,4,140,,4ª planta,no,,,https://www.idealista.com/inmueble/108615751/
2026-09-10,Idealista,p1,98416215,Anuncio 98416215 (Centro),1000,4,110,Centro,6ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/98416215/
2026-09-10,Idealista,p1,105831233,Anuncio 105831233 (Centro),1000,4,120,Centro,2ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/105831233/
2026-09-10,Idealista,p1,112404446,Anuncio 112404446 (Sol y Luz),1290,3,90,Sol y Luz,5ª planta,si,,,https://www.idealista.com/inmueble/112404446/
2026-09-10,Idealista,p1,112258283,Anuncio 112258283,1100,2,80,,5ª planta,si,,,https://www.idealista.com/inmueble/112258283/
2026-09-10,Idealista,p1,111631072,Anuncio 111631072 (Los Girasoles),1300,4,124,Los Girasoles,1ª planta,si,,,https://www.idealista.com/inmueble/111631072/
2026-09-10,Idealista,p1,112456969,Anuncio 112456969 (Villamontes-Boqueres),1600,4,140,Villamontes-Boqueres,,,,Alquiler de temporada,https://www.idealista.com/inmueble/112456969/
2026-09-10,Idealista,p1,112473894,Anuncio 112473894 (Centro),1000,3,80,Centro,4ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112473894/
2026-09-10,Idealista,p1,112310566,Anuncio 112310566,1050,4,126,,3ª planta,si,,,https://www.idealista.com/inmueble/112310566/
2026-09-10,Idealista,p1,112335464,Anuncio 112335464 (Centro),850,3,82,Centro,3ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112335464/
2026-09-10,Idealista,p1,112367343,Anuncio 112367343 (Centro),860,4,137,Centro,1ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112367343/
2026-09-10,Idealista,p1,112360915,Anuncio 112360915 (Centro),1100,4,112,Centro,3ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112360915/
2026-09-10,Idealista,p1,111697774,Anuncio 111697774 (Centro),900,3,130,Centro,1ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/111697774/
2026-09-10,Idealista,p2,112275746,Anuncio 112275746,1100,4,111,,3ª planta,si,,,https://www.idealista.com/inmueble/112275746/
2026-09-10,Idealista,p2,102020896,Anuncio 102020896 (Centro),1500,5,100,Centro,3ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/102020896/
2026-09-10,Idealista,p2,98359478,Anuncio 98359478 (Centro),900,3,90,Centro,2ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/98359478/
2026-09-10,Idealista,p2,112382424,Anuncio 112382424,1150,3,80,,,,,Alquiler de temporada,https://www.idealista.com/inmueble/112382424/
2026-09-10,Idealista,p2,112075109,Anuncio 112075109,900,3,90,,3ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112075109/
2026-09-10,Idealista,p2,105885500,Anuncio 105885500 (Centro),920,3,100,Centro,4ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/105885500/
2026-09-10,Idealista,p2,94925525,Anuncio 94925525 (Centro),890,4,90,Centro,1ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/94925525/
2026-09-10,Idealista,p2,112054915,Anuncio 112054915 (Centro),1750,5,100,Centro,2ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112054915/
2026-09-10,Idealista,p2,112156668,Anuncio 112156668 (Centro),1000,3,95,Centro,1ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112156668/
2026-09-10,Idealista,p2,108899268,Anuncio 108899268 (Alcalde Felipe Mallol),900,3,90,Alcalde Felipe Mallol,3ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/108899268/
2026-09-10,Idealista,p2,112238150,Anuncio 112238150 (Centro),990,3,95,Centro,4ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112238150/
2026-09-10,Idealista,p2,112395024,Anuncio 112395024 (Haygon - Universidad),800,3,65,Haygon - Universidad,1ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112395024/
2026-09-10,Idealista,p2,111306537,Anuncio 111306537 (Centro),1520,1,98,Centro,Bajo,no,,Alquiler de temporada,https://www.idealista.com/inmueble/111306537/
2026-09-10,Idealista,p2,112382302,Anuncio 112382302 (Centro),1200,4,100,Centro,Bajo,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112382302/
2026-09-10,Idealista,p2,98218271,Anuncio 98218271 (Centro),840,3,95,Centro,3ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/98218271/
2026-09-10,Idealista,p2,107741698,Anuncio 107741698 (Los Girasoles),1000,4,120,Los Girasoles,3ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/107741698/
2026-09-10,Idealista,p2,112222845,Anuncio 112222845 (Centro),800,3,106,Centro,4ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112222845/
2026-09-10,Idealista,p2,112279039,Anuncio 112279039,900,3,90,,,,,,https://www.idealista.com/inmueble/112279039/
2026-09-10,Idealista,p2,111961649,Anuncio 111961649 (Centro),825,3,100,Centro,6ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/111961649/
2026-09-10,Idealista,p2,112251416,Anuncio 112251416 (Villamontes-Boqueres),2400,4,500,Villamontes-Boqueres,,,,,https://www.idealista.com/inmueble/112251416/
2026-09-10,Idealista,p2,105191370,Anuncio 105191370 (Centro),1500,4,110,Centro,Entreplanta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/105191370/
2026-09-10,Idealista,p2,111587247,Anuncio 111587247 (Centro),1350,3,160,Centro,,,,,https://www.idealista.com/inmueble/111587247/
2026-09-10,Idealista,p2,111764464,Anuncio 111764464,1050,3,112,,,,,Alquiler de temporada,https://www.idealista.com/inmueble/111764464/
2026-09-10,Idealista,p2,112258110,Anuncio 112258110 (Centro),1400,5,120,Centro,2ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112258110/
2026-09-10,Idealista,p2,112446974,Anuncio 112446974 (Centro),1100,3,120,Centro,2ª planta,si,,,https://www.idealista.com/inmueble/112446974/
2026-09-10,Idealista,p2,112337892,Anuncio 112337892 (Centro),1100,4,152,Centro,1ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112337892/
2026-09-10,Idealista,p2,112086553,Anuncio 112086553 (Centro),630,,42,Centro,1ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112086553/
2026-09-10,Idealista,p2,112393388,Anuncio 112393388 (Alcalde Felipe Mallol),960,3,100,Alcalde Felipe Mallol,2ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112393388/
2026-09-10,Idealista,p2,112082386,Anuncio 112082386 (Centro),800,2,75,Centro,1ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112082386/
2026-09-10,Idealista,p2,111984769,Anuncio 111984769 (Centro),900,3,100,Centro,4ª planta,si,,,https://www.idealista.com/inmueble/111984769/
2026-09-10,Idealista,p3,112076150,Anuncio 112076150 (Centro),630,,42,Centro,1ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112076150/
2026-09-10,Idealista,p3,108948979,Anuncio 108948979,1300,3,100,,,,,,https://www.idealista.com/inmueble/108948979/
2026-09-10,Idealista,p3,81717288,Anuncio 81717288 (Centro),810,3,90,Centro,3ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/81717288/
2026-09-10,Idealista,p3,112339175,Anuncio 112339175 (Centro),800,3,115,Centro,1ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112339175/
2026-09-10,Idealista,p3,112237069,Anuncio 112237069 (Centro),1200,4,121,Centro,2ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112237069/
2026-09-10,Idealista,p3,112225609,Anuncio 112225609 (Alcalde Felipe Mallol),990,3,110,Alcalde Felipe Mallol,5ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112225609/
2026-09-10,Idealista,p3,112434975,Anuncio 112434975 (Centro),840,3,90,Centro,2ª planta,no,,Alquiler de temporada,https://www.idealista.com/inmueble/112434975/
2026-09-10,Idealista,p3,112453420,Anuncio 112453420 (Centro),1050,3,90,Centro,3ª planta,si,,Alquiler de temporada,https://www.idealista.com/inmueble/112453420/
2026-09-10,Idealista,p3,112372116,Anuncio 112372116 (Sol y Luz),1550,3,90,Sol y Luz,3ª planta,si,,,https://www.idealista.com/inmueble/112372116/
2026-09-10,Idealista,p3,112442856,Anuncio 112442856 (Centro),875,2,76,Centro,Bajo,si,,,https://www.idealista.com/inmueble/112442856/
