cod_municipio,cod_provincia,cp,direccion,dormit_totales,estudio,fecha_alta,habdoble,habindi,municipio,nombre,numplazasdoble,numplazasindi,plazas_totales,provincia,ref_catastral,rural,signatura,superficie,web
122,3,3004.0,"CL MARQUES DE MOLINS, 5, Es:1 Pl:00 Pt:CN",2,N,28/01/2025,1.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,2,1,3,ALICANTE/ALACANT,9578502YH1497H0002AY,N,CV-VUT0513993-A,63.00,
122,3,3004.0,"CL POZO, 54, Es:1 Pl:00 Pt:01",3,N,29/01/2025,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,6,0,6,ALICANTE/ALACANT,9978622YH1497H0001HT,N,CV-VUT0514003-A,64.00,
122,3,3004.0,"CL SAN VICENTE, 51, Es:1 Pl:02 Pt:DR",4,N,24/02/2025,3.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,6,1,7,ALICANTE/ALACANT,9879607YH1497H0007MA,N,CV-VUT0514446-A,111.00,
122,3,3690.0,"AV ALMASSERA DE L', 26, Bloque:3 Es:4 Pl:03 Pt:Z",3,N,27/02/2025,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,6,0,6,ALICANTE/ALACANT,7028018YH1572N0231LZ,N,CV-VUT0514536-A,123.00,
122,3,3690.0,"AV ANCHA CASTELAR, 22, Es:1 Pl:04 Pt:01",5,N,20/02/2025,4.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,8,1,9,ALICANTE/ALACANT,6629009YH1562N0005QJ,N,CV-VUT0514403-A,212.00,
122,3,3690.0,"AV HAYGON, 24, Es:T Pl:OD Pt:OS",5,N,13/04/2021,5.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 485628-A,10,0,10,ALICANTE/ALACANT,8220008YH1581N0001QR,N,CV-VUT0485628-A,317.00,
122,3,3690.0,"AV HAYGON, 41A, Es:T Pl:OD Pt:OS",5,N,04/02/2026,3.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,6,2,8,ALICANTE/ALACANT,8317011YH1581N0001HR,N,CV-VUT0520085-A,202.00,
122,3,3690.0,"AV SEVILLA, 10, Es:1 Pl:02 Pt:B",3,N,29/05/2015,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 443247-A,6,0,6,ALICANTE/ALACANT,7123501YH1572S0007BI,N,CV-VUT0443247-A,186.00,
122,3,3690.0,"AV SEVILLA, 10, Es:2 Pl:04 Pt:D",2,N,25/03/2024,1.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 506549-A,2,1,3,ALICANTE/ALACANT,7123501YH1572S0036JT,N,CV-VUT0506549-A,143.00,
122,3,3690.0,"CL ABEDUL, 14, Es:T Pl:OD Pt:OS",7,N,13/05/2025,7.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,14,0,14,ALICANTE/ALACANT,8743008YH1584S0001MJ,N,CV-VUT0516449-A,480.00,
122,3,3690.0,"CL ACACIAS, 6, Es:T Pl:OD Pt:OS",5,N,28/02/2022,5.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 488782-A,10,0,10,ALICANTE/ALACANT,9041019YH1594S0001HZ,N,CV-VUT0488782-A,470.00,
122,3,3690.0,"CL ALC RAMON ORTS GALAN, 8, Es:2 Pl:07 Pt:A",2,N,25/01/2017,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 452617-A,4,0,4,ALICANTE/ALACANT,7229402YH1572N0428TR,N,CV-VUT0452617-A,85.00,
122,3,3690.0,"CL ALFONSO XIII, 15, Es:1 Pl:EN Pt:2A",1,N,16/05/2023,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 498136-A,2,0,2,ALICANTE/ALACANT,6128212YH1562N1001GA,N,CV-VUT0498136-A,98.00,
122,3,3690.0,"CL ALFONSO XIII, 54, Es:1 Pl:00 Pt:A",2,N,07/07/2023,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 500283-A,4,0,4,ALICANTE/ALACANT,6326013YH1562N0002HF,N,CV-VUT0500283-A,66.00,
122,3,3690.0,"CL ALFONSO XIII, 54, Es:1 Pl:00 Pt:B",1,N,07/07/2023,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 500284-A,2,0,2,ALICANTE/ALACANT,6326013YH1562N0003JG,N,CV-VUT0500284-A,55.00,
122,3,3690.0,"CL ALFONSO XIII, 54, Es:1 Pl:01 Pt:A",3,N,28/08/2023,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 501176-A,6,0,6,ALICANTE/ALACANT,6326013YH1562N0004KH,N,CV-VUT0501176-A,101.00,
122,3,3690.0,"CL ALFONSO XIII, 54, Es:1 Pl:01 Pt:B",1,N,28/08/2023,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 501177-A,2,0,2,ALICANTE/ALACANT,6326013YH1562N0005LJ,N,CV-VUT0501177-A,45.00,
122,3,3690.0,"CL ALFONSO XIII, 54, Es:1 Pl:02 Pt:A",3,N,28/08/2023,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 501178-A,6,0,6,ALICANTE/ALACANT,6326013YH1562N0006BK,N,CV-VUT0501178-A,101.00,
122,3,3690.0,"CL ALFONSO XIII, 54, Es:1 Pl:02 Pt:B",1,N,28/08/2023,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 501179-A,2,0,2,ALICANTE/ALACANT,6326013YH1562N0007ZL,N,CV-VUT0501179-A,45.00,
122,3,3690.0,"CL ALFONSO XIII, 54, Es:1 Pl:03 Pt:A",2,N,07/07/2023,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 500285-A,4,0,4,ALICANTE/ALACANT,6326013YH1562N0008XB,N,CV-VUT0500285-A,187.00,
122,3,3690.0,"CL ALICANTE, 18, Pl:04 Pt:IZ",2,N,30/03/2022,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 489315-A,4,0,4,ALICANTE/ALACANT,6627311YH1562N0009ZZ,N,CV-VUT0489315-A,140.00,
122,3,3690.0,"CL ALICANTE, 24, Es:1 Pl:EN Pt:01",1,N,29/01/2024,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 504861-A,2,0,2,ALICANTE/ALACANT,6627314YH1562N0002KF,N,CV-VUT0504861-A,47.00,
122,3,3690.0,"CL ALICANTE, 84, Es:1 Pl:+1 Pt:41",1,N,29/04/2024,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 507508-A,2,0,2,ALICANTE/ALACANT,6922128YH1572S0064SQ,N,CV-VUT0507508-A,41.00,
122,3,3690.0,"CL AVELLANO, 13, Es:T Pl:OD Pt:OS",4,N,17/12/2020,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 484543-A,8,0,8,ALICANTE/ALACANT,8937002YH1593N0001UL,N,CV-VUT0484543-A,378.00,
122,3,3690.0,"CL BAILEN, 39, Pl:02 Pt:DR",4,N,07/05/2018,1.0,3.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 466339-A,2,3,5,ALICANTE/ALACANT,6326027YH1562N0005EJ,N,CV-VUT0466339-A,104.00,
122,3,3690.0,"CL BAILEN, 41, Pl:02 Pt:DR",4,N,07/05/2018,1.0,3.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 466336-A,2,3,5,ALICANTE/ALACANT,6326026YH1562N0005JJ,N,CV-VUT0466336-A,108.00,
122,3,3690.0,"CL BAILEN, 49, Pl:03 Pt:DR",3,N,04/07/2019,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 477239-A,6,0,6,ALICANTE/ALACANT,6325003YH1562S0007XR,N,CV-VUT0477239-A,112.00,
122,3,3690.0,"CL BAILEN, 57, Es:1 Pl:03 Pt:C",2,N,26/07/2023,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 500444-A,4,0,4,ALICANTE/ALACANT,6325007YH1562S0016KP,N,CV-VUT0500444-A,71.00,
122,3,3690.0,"CL BAUTISTA AZNAR, 2, Pl:03 Pt:DR",3,N,27/05/2018,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 467383-A,6,0,6,ALICANTE/ALACANT,6625111YH1562N0007QL,N,CV-VUT0467383-A,102.00,
122,3,3690.0,"CL BENLLIURE, 17, Pl:02 Pt:DR",4,N,24/08/2020,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 483037-A,8,0,8,ALICANTE/ALACANT,6729008YH1562N0005UJ,N,CV-VUT0483037-A,97.00,
122,3,3690.0,"CL BENLLIURE, 32, Es:1 Pl:02 Pt:DR",4,N,24/08/2020,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 483038-A,8,0,8,ALICANTE/ALACANT,6728002YH1562N0004HH,N,CV-VUT0483038-A,91.00,
122,3,3690.0,"CL BLASCO IBAÑEZ, 26, Pl:03 Pt:IZ",3,N,26/12/2024,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 513503-A,6,0,6,ALICANTE/ALACANT,6929010YH1562N0010UL,N,CV-VUT0513503-A,90.00,
122,3,3690.0,"CL CADERNERA LA, 10, Es:T Pl:OD Pt:OS",5,N,29/04/2021,4.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 488079-A,8,1,9,ALICANTE/ALACANT,4563009YH1546S0001BS,N,CV-VUT0488079-A,484.00,
122,3,3690.0,"CL CASTAÑO, 6, Es:T Pl:OD Pt:OS",9,N,21/05/2025,9.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,18,0,18,ALICANTE/ALACANT,8945018YH1584S0001AJ,N,CV-VUT0516616-A,224.00,
122,3,3690.0,"CL CIUDAD JARDIN, 7, Pl:03 Pt:DR",3,N,05/11/2024,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 512549-A,6,0,6,ALICANTE/ALACANT,7026607YH1562N0007OL,N,CV-VUT0512549-A,87.00,
122,3,3690.0,"CL COLONIA STA. ISABEL, 21L, Es:2 Pl:04 Pt:I",3,N,02/01/2024,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 504156-A,2,2,4,ALICANTE/ALACANT,7315601YH1581S0052DW,N,CV-VUT0504156-A,70.00,
122,3,3690.0,"CL COLONIA STA. ISABEL, 50, Es:P Pl:03 Pt:C",3,N,12/12/2017,2.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 461221-A,4,1,5,ALICANTE/ALACANT,8412110YH1581S0188ZO,N,CV-VUT0461221-A,89.00,
122,3,3690.0,"CL COLONIA STA. ISABEL, 9, Es:B Pl:05 Pt:I",2,N,02/01/2024,1.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 504157-A,2,1,3,ALICANTE/ALACANT,7213201YH1581S0034YD,N,CV-VUT0504157-A,69.00,
