direccion;superficie_m2;dormitorios;plazas_totales;rural;estudio;fecha_alta;signatura
PD RASPEIG POLIG G, 52, Pl:01;274.00;1;2;S;N;2024-11-10T00:00:00;CV-VUT0512669-A
PD RASPEIG POLIG F, 50, Es:T Pl:OD Pt:OS;104.00;2;4;S;N;2025-02-26T00:00:00;CV-VUT0514567-A
CL SAN VICENTE, 51, Es:1 Pl:02 Pt:DR;111.00;4;7;N;N;2025-02-24T00:00:00;CV-VUT0514446-A
AV ALMASSERA DE L', 26, Bloque:3 Es:4 Pl:03 Pt:Z;123.00;3;6;N;N;2025-02-27T00:00:00;CV-VUT0514536-A
AV ANCHA CASTELAR, 22, Es:1 Pl:04 Pt:01;212.00;5;9;N;N;2025-02-20T00:00:00;CV-VUT0514403-A
AV HAYGON, 24, Es:T Pl:OD Pt:OS;317.00;5;10;N;N;2021-04-13T00:00:00;CV-VUT0485628-A
AV HAYGON, 41A, Es:T Pl:OD Pt:OS;202.00;5;8;N;N;2026-02-04T00:00:00;CV-VUT0520085-A
AV SEVILLA, 10, Es:1 Pl:02 Pt:B;186.00;3;6;N;N;2015-05-29T00:00:00;CV-VUT0443247-A
AV SEVILLA, 10, Es:2 Pl:04 Pt:D;143.00;2;3;N;N;2024-03-25T00:00:00;CV-VUT0506549-A
CL ABEDUL, 14, Es:T Pl:OD Pt:OS;480.00;7;14;N;N;2025-05-13T00:00:00;CV-VUT0516449-A
CL ACACIAS, 6, Es:T Pl:OD Pt:OS;470.00;5;10;N;N;2022-02-28T00:00:00;CV-VUT0488782-A
CL ALC RAMON ORTS GALAN, 8, Es:2 Pl:07 Pt:A;85.00;2;4;N;N;2017-01-25T00:00:00;CV-VUT0452617-A
CL ALFONSO XIII, 15, Es:1 Pl:EN Pt:2A;98.00;1;2;N;N;2023-05-16T00:00:00;CV-VUT0498136-A
CL ALFONSO XIII, 54, Es:1 Pl:00 Pt:A;66.00;2;4;N;N;2023-07-07T00:00:00;CV-VUT0500283-A
CL ALFONSO XIII, 54, Es:1 Pl:00 Pt:B;55.00;1;2;N;N;2023-07-07T00:00:00;CV-VUT0500284-A
CL ALFONSO XIII, 54, Es:1 Pl:01 Pt:A;101.00;3;6;N;N;2023-08-28T00:00:00;CV-VUT0501176-A
CL ALFONSO XIII, 54, Es:1 Pl:01 Pt:B;45.00;1;2;N;N;2023-08-28T00:00:00;CV-VUT0501177-A
CL ALFONSO XIII, 54, Es:1 Pl:02 Pt:A;101.00;3;6;N;N;2023-08-28T00:00:00;CV-VUT0501178-A
CL ALFONSO XIII, 54, Es:1 Pl:02 Pt:B;45.00;1;2;N;N;2023-08-28T00:00:00;CV-VUT0501179-A
CL ALFONSO XIII, 54, Es:1 Pl:03 Pt:A;187.00;2;4;N;N;2023-07-07T00:00:00;CV-VUT0500285-A
CL ALICANTE, 18, Pl:04 Pt:IZ;140.00;2;4;N;N;2022-03-30T00:00:00;CV-VUT0489315-A
CL ALICANTE, 24, Es:1 Pl:EN Pt:01;47.00;1;2;N;N;2024-01-29T00:00:00;CV-VUT0504861-A
CL ALICANTE, 84, Es:1 Pl:+1 Pt:41;41.00;1;2;N;N;2024-04-29T00:00:00;CV-VUT0507508-A
CL AVELLANO, 13, Es:T Pl:OD Pt:OS;378.00;4;8;N;N;2020-12-17T00:00:00;CV-VUT0484543-A
CL BAILEN, 39, Pl:02 Pt:DR;104.00;4;5;N;N;2018-05-07T00:00:00;CV-VUT0466339-A
CL BAILEN, 41, Pl:02 Pt:DR;108.00;4;5;N;N;2018-05-07T00:00:00;CV-VUT0466336-A
CL BAILEN, 49, Pl:03 Pt:DR;112.00;3;6;N;N;2019-07-04T00:00:00;CV-VUT0477239-A
CL BAILEN, 57, Es:1 Pl:03 Pt:C;71.00;2;4;N;N;2023-07-26T00:00:00;CV-VUT0500444-A
CL BAUTISTA AZNAR, 2, Pl:03 Pt:DR;102.00;3;6;N;N;2018-05-27T00:00:00;CV-VUT0467383-A
CL BENLLIURE, 17, Pl:02 Pt:DR;97.00;4;8;N;N;2020-08-24T00:00:00;CV-VUT0483037-A
CL BENLLIURE, 32, Es:1 Pl:02 Pt:DR;91.00;4;8;N;N;2020-08-24T00:00:00;CV-VUT0483038-A
CL BLASCO IBAÑEZ, 26, Pl:03 Pt:IZ;90.00;3;6;N;N;2024-12-26T00:00:00;CV-VUT0513503-A
CL CADERNERA LA, 10, Es:T Pl:OD Pt:OS;484.00;5;9;N;N;2021-04-29T00:00:00;CV-VUT0488079-A
CL CASTAÑO, 6, Es:T Pl:OD Pt:OS;224.00;9;18;N;N;2025-05-21T00:00:00;CV-VUT0516616-A
CL CIUDAD JARDIN, 7, Pl:03 Pt:DR;87.00;3;6;N;N;2024-11-05T00:00:00;CV-VUT0512549-A
CL COLONIA STA. ISABEL, 21L, Es:2 Pl:04 Pt:I;70.00;3;4;N;N;2024-01-02T00:00:00;CV-VUT0504156-A
